var1,var2,var3,var4
0,0.532280730215671,0.532280730215671,0.568901884856363
0.100502512562814,0.532280730215671,0.532280730215671,0.568901882675637
0.201005025125628,0.532280730215671,0.532280730215671,0.568901611233633
0.301507537688442,0.532280730215671,0.532280730215671,0.568901246627419
0.402010050251256,0.532280730215671,0.532280730215671,0.568898036037073
0.50251256281407,0.532280730215671,0.532280730215671,0.568895888490883
0.603015075376884,0.532280730215671,0.532280730215671,0.568889001354509
0.703517587939699,0.532280730215671,0.532280730215671,0.568887490792879
0.804020100502513,0.532280730215671,0.532280730215671,0.568890446919575
0.904522613065327,0.532280730215671,0.532280730215671,0.568892702050436
