data1,data2,data3,data4,data5,data6,data7,data8
0,-4.5,300,100,75,0.1,0.1,0.1
0.025004167,-4.500162913,300,100.0000001,74.99999985,0.100000034,0.100000022,0.100000014
0.050008335,-4.506115375,299.9999993,99.99999878,75.0000055,0.099998952,0.099999346,0.09999959
0.075012502,-4.292300826,299.9999954,99.99998777,75.00001636,0.09999181,0.099995151,0.09999709
0.100016669,-3.782616968,299.9999922,99.99997819,75.00002233,0.099986048,0.099991791,0.099995099
0.125020837,-3.024668951,299.9999907,99.99997327,75.00002482,0.099983167,0.099990115,0.099994109
0.150025004,-2.095678325,299.99999,99.99997119,75.00002573,0.099981964,0.099989416,0.099993696
0.175029172,-1.094197652,299.9999899,99.99997086,75.00002586,0.099981775,0.099989307,0.099993632
0.200033339,-0.12806812,299.99999,99.99997101,75.00002581,0.099981862,0.099989357,0.099993661
0.225037506,0.698280813,299.9999897,99.99997011,75.00002604,0.099981361,0.099989067,0.099993491
0.250041674,1.294148454,299.9999897,99.99997007,75.00002609,0.099981334,0.099989051,0.099993481
0.275045841,1.58938212,299.9999901,99.99997175,75.00002662,0.099982142,0.099989511,0.099993747
0.300050008,1.538482735,299.9999899,99.99997142,75.00002771,0.099981827,0.09998932,0.099993631
0.325054176,1.123028017,299.9999901,99.99997206,75.00002727,0.099982217,0.099989548,0.099993766
0.350058343,0.352639096,299.9999907,99.99997394,75.0000262,0.099983334,0.099990199,0.099994151
0.37506251,-0.73583699,299.9999913,99.99997591,75.00002521,0.099984487,0.099990869,0.099994547
0.400066678,-2.081168243,299.999992,99.99997795,75.00002429,0.099985666,0.099991555,0.099994952
0.425070845,-3.602487715,299.9999926,99.99998011,75.0000234,0.099986907,0.099992275,0.099995377
0.450075013,-5.205616192,299.9999932,99.99998198,75.00002268,0.099987972,0.099992893,0.099995741
0.47507918,-6.790507711,299.9999935,99.999983,75.00002231,0.09998855,0.099993228,0.099995939
0.500083347,-8.259183981,299.9999936,99.99998322,75.00002224,0.099988674,0.099993299,0.099995981
0.525087515,-9.523300967,299.9999936,99.99998315,75.00002226,0.099988638,0.099993279,0.099995969
0.550091682,-10.51045274,299.9999936,99.99998317,75.00002226,0.099988648,0.099993285,0.099995972
0.575095849,-11.16858613,299.9999936,99.9999833,75.00002224,0.099988715,0.099993323,0.099995994
0.600100017,-11.46834001,299.9999936,99.99998338,75.00002227,0.099988754,0.099993345,0.099996007
0.625104184,-11.40348663,299.9999936,99.99998335,75.00002232,0.099988733,0.099993333,0.099996
0.650108351,-10.98980533,299.9999936,99.99998331,75.00002236,0.099988704,0.099993316,0.09999599
0.675112519,-10.26270389,299.9999936,99.99998331,75.00002236,0.099988707,0.099993318,0.099995991
0.700116686,-9.273845767,299.9999936,99.99998333,75.00002235,0.099988719,0.099993325,0.099995995
0.725120853,-8.087031634,299.9999936,99.9999833,75.00002236,0.099988702,0.099993315,0.099995989
0.750125021,-6.773627111,299.9999936,99.99998324,75.00002238,0.099988669,0.099993295,0.099995978
0.775129188,-5.407876287,299.9999936,99.99998333,75.00002235,0.099988718,0.099993324,0.099995995
0.800133356,-4.062442561,299.9999938,99.99998384,75.00002217,0.099989007,0.099993492,0.099996093
