var1,var2,var3,var4,var5,var6,var7,var8
0,2.51462214290865,100.00000000001,100.000000000023,74.9999999999395,1.34001415340694e-11,8.88309630128511e-12,5.82578965786218e-12
0.0100008334027836,17.9366258754364,100.000000001811,99.9999999954783,74.9999999959127,3.59144300459178e-09,2.03398597080235e-09,1.17289694629223e-09
0.0200016668055671,-35.2754331728856,100.000000012616,100.000000130448,75.0000001275236,2.69425746113919e-08,1.4862313269055e-08,8.35488296645029e-09
0.0300025002083507,-35.2590049991109,100.000000012659,100.000000130555,75.0000001272882,2.70256639183105e-08,1.49096544899578e-08,8.38233674952347e-09
0.0400033336111343,-35.4487803772688,100.000000012448,100.000000130105,75.0000001306897,2.6796748532173e-08,1.47408397798818e-08,8.26369924046147e-09
0.0500041670139178,-35.4377841979383,100.000000013296,100.000000132177,75.0000001275528,2.829185385542e-08,1.56262035916018e-08,8.79523667556908e-09
0.0600050004167014,-35.0161679924009,99.9999999953819,100.000000081568,75.00000017358,-4.09192248452193e-09,-3.36519606019469e-09,-2.51004194515124e-09
0.070005833819485,-34.2207969102595,99.9999999625632,99.9999999864393,75.0000002506512,-6.37081270169699e-08,-3.82615942403799e-08,-2.32489829707757e-08
0.0800066672222685,-33.0822172604282,99.9999999515838,99.9999999534762,75.0000002730121,-8.37886214036826e-08,-4.99849983416061e-08,-3.02000447760991e-08
0.0900075006250521,-31.6327061441593,99.9999999686715,100.000000006575,75.0000002436199,-5.23212742992002e-08,-3.16619742259544e-08,-1.93613692693886e-08
0.100008334027836,-29.9069936070635,100.0000000126,100.000000144505,75.0000001723517,2.87447823216397e-08,1.55036700203253e-08,8.51855107151896e-09
0.110009167430619,-27.9418875680049,100.000000009527,100.000000134553,75.0000001764204,2.30375774003454e-08,1.2191230840101e-08,6.56483860496578e-09
0.120010000833403,-25.7758846960205,99.9999999840203,100.000000053114,75.0000002137321,-2.41948334399102e-08,-1.52533967964817e-08,-9.63880670747259e-09
0.130010834236186,-23.4486514913123,100.000000004282,100.00000011833,75.0000001856697,1.33878502077338e-08,6.57031439015981e-09,3.23881955144191e-09
0.14001166763897,-21.0003730846594,100.000000026546,100.000000190372,75.0000001559845,5.47295573121444e-08,3.05667315146848e-08,1.73931491636724e-08
0.150012501041753,-18.4710022422318,100.000000037184,100.000000224974,75.0000001423339,7.45052618657308e-08,4.20406789821577e-08,2.41585956355802e-08
0.160013334444537,-15.8994666299157,100.000000039341,100.000000232021,75.0000001396606,7.85183427127098e-08,4.43682615223579e-08,2.5530583724026e-08
0.170014167847321,-13.3229061070872,100.000000038821,100.000000230315,75.0000001402767,7.75507298743221e-08,4.38072889494588e-08,2.52000480982253e-08
0.180015001250104,-10.7760090592868,100.000000038913,100.000000230617,75.0000001401741,7.77211959579294e-08,4.39060661046832e-08,2.52582227086691e-08
0.190015834652888,-8.29049881297508,100.00000003761,100.000000226296,75.0000001415985,7.52891486221607e-08,4.24971431737988e-08,2.44286184126648e-08
0.200016668055671,-5.89479406882341,100.000000027168,100.000000191538,75.0000001526199,5.57851691587998e-08,3.12015962711438e-08,1.77793693274986e-08
0.210017501458455,-3.6138392653038,99.9999999955905,100.000000085973,75.0000001846036,-3.2523759968869e-09,-2.97774115058837e-09,-2.33445634710539e-09
0.220018334861238,-1.46907891647445,99.9999999289861,99.9999998622826,75.0000002489907,-1.27898252806579e-07,-7.51138169544702e-08,-4.47708294219308e-08
0.230019168264022,0.521462010766338,99.9999998138932,99.9999994737832,75.0000003543766,-3.43519824666157e-07,-1.99849042975025e-07,-1.18123198284194e-07
0.240020001666806,2.34303164708982,99.9999996393443,99.9999988811948,75.0000005040295,-6.70933595307994e-07,-3.89166716390903e-07,-2.29407188726518e-07
0.250020835069589,3.9839732534793,99.9999993992079,99.9999980604121,75.0000006933284,-1.12203332750439e-06,-6.49858270446667e-07,-3.82569239663668e-07
0.260021668472373,5.4355408924762,99.9999990957931,99.9999970147142,75.0000009065885,-1.69303204326105e-06,-9.79614910524472e-07,-5.76188807882684e-07
0.270022501875156,6.69172364327935,99.9999987451715,99.9999957933369,75.0000011140196,-2.35441995032464e-06,-1.36123429272202e-06,-8.00079998583256e-07
0.28002333527794,7.7490843237413,99.9999983821156,99.9999945099399,75.0000012726028,-3.04149677113957e-06,-1.75719054306574e-06,-1.03212338815112e-06
0.290024168680723,8.60661214118657,99.9999980580282,99.9999933388123,75.0000013375945,-3.65786946027367e-06,-2.11174126617305e-06,-1.23954957185757e-06
0.300025002083507,9.26558479369444,99.9999978237968,99.9999924599025,75.00000128696,-4.10722619305139e-06,-2.36938454074637e-06,-1.38983351933581e-06
0.310025835486291,9.7294339778346,99.9999977016794,99.9999919624327,75.0000011426581,-4.34618502695869e-06,-2.50539261721428e-06,-1.46862971502634e-06
0.320026668889074,10.0036084491731,99.9999976722423,99.9999917931948,75.0000009597205,-4.40967417687531e-06,-2.54029510783474e-06,-1.48818327342556e-06
0.330027502291858,10.0954300752644,99.9999976949812,99.9999918192616,75.0000007866427,-4.37312316422474e-06,-2.51782657530223e-06,-1.47426574624844e-06
0.340028335694641,10.0139401173195,99.9999977376895,99.9999919284617,75.0000006425289,-4.29728255062823e-06,-2.47304034069218e-06,-1.44744266916799e-06
0.350029169097425,9.7697347972554,99.9999977843167,99.9999920616491,75.0000005271526,-4.21281552023704e-06,-2.42354497495972e-06,-1.41799994002409e-06
0.360030002500208,9.37479071794946,99.9999978275969,99.999992190997,75.0000004372475,-4.13372846201797e-06,-2.3773567623457e-06,-1.39060573388991e-06
