time,mes1,mes2,mes3,est1,est2,est3,epsilon1,epsilon2,epsilon3,tau1,tau2,tau3
0,0.900041425792566,0.01,3.25109764753448,0,0,0,0.900041425792566,0.01,3.25109764753448,0,0,0
0.001,0.900034054052805,0.01,3.24900061123537,0,0,0,0.900034054052805,0.01,3.24900061123537,0,0,0
0.002,0.963378136584063,0.0179323181234125,3.05103823271944,0.182656192309227,0.000338331147984667,-0.00471853719502227,0.780721944274836,0.0175939869754279,3.05575676991446,-695.567145275111,-107.511109053462,223.56143164514
0.003,1.00189050962063,0.0227526604775789,2.93097503975179,1.11908561889805,0.000414827800210033,-0.0272325780084907,-0.117195109277418,0.0223378326773689,2.95820761776028,-154.045149382744,-77.6699843089699,179.005567962669
0.004,1.02521064576755,0.0256698880271591,2.85817406506359,81.6146944228747,0.523518423459477,-0.656897439550038,-80.5894837771072,-0.497848535432318,3.51507150461363,126.24951650902,-51.9096179105273,128.508953525709
0.005,1.03932609988066,0.0274331878545745,2.81403752143712,174.044965225223,-12.2926729164589,-29.4118393307238,-173.005639125342,12.3201061043134,32.2258768521609,277.389167402512,-33.2770378542158,85.5422295005111
0.006,1.04786369452747,0.0284969892946324,2.78728547485786,-43.4177264694774,0.627759742081998,31.5378241531477,44.4655901640049,-0.599262752787365,-28.7505386782898,362.189005020599,-20.8463718572555,54.3788968270168
0.007,1.05302083701542,0.0291368206032603,2.7710765939965,49.6476750417636,7.8148774829266,6.28932793691698,-48.5946542047481,-7.78574066232334,-3.51825134292048,411.029244971772,-12.8853309261766,33.4207365990487
0.008,1.05612912909904,0.0295197060899727,2.76126172666758,-24.3979914868624,-0.844392118762612,-18.8564236976194,25.4541206159614,0.873911824852584,21.617685424287,439.63442549728,-7.90054617968996,19.893096710019
0.009,1.05799558156592,0.029746878281256,2.75532453607433,17.4974584098771,-4.83527452383886,10.8022428385809,-16.4394628283112,4.86502140212011,-8.04691830250656,456.569404918315,-4.82244837182031,11.3802501493194
0.01,1.05910931772829,0.029879689809724,2.75173896978182,-14.3753133230345,0.88746591913387,7.51352049264475,15.4344226407628,-0.857586229324146,-4.76178152286293,466.647485347022,-2.93474233427746,6.09862529986527
0.011,1.05976679930633,0.0299553208563128,2.74957954807751,5.39017745581333,3.03583792660836,-8.56725151447857,-4.330410656507,-3.00588260575205,11.3168310625561,472.65282956661,-1.78356531964756,2.85193990741773
0.012,1.06014772114622,0.0299963027223646,2.74828501643866,-8.87844175254977,-0.718683259139768,2.97172383362194,9.93858947369599,0.748679561862132,-0.223438817183287,476.219980546225,-1.08273404045753,0.865998868413537
0.013,1.06036100208749,0.0300162888213512,2.74751500396897,0.505106946692616,-1.83277477319386,5.38639157234617,0.555254055394876,1.86279106201521,-2.6388765683772,478.321365295919,-0.657241202194036,-0.344519881285746
0.014,1.06047266289453,0.0300235528873029,2.74706309515009,-5.89616240567391,0.610342866346107,-2.81576494387089,6.95663506856844,-0.580319313458804,5.56282803902099,479.538819269944,-0.398878878824555,-1.0811328205415
0.015,1.06052272148801,0.0300231084966702,2.74680411053822,-1.44149310129753,1.15580672102076,0.647478185378684,2.50201582278554,-1.12578361252409,2.09932592515954,480.222420314725,-0.242263204015341,-1.5287186987574
0.016,1.06053543481662,0.0300179937498204,2.74666213615007,-4.27924260636577,-0.422150966909809,3.33609029420282,5.3397780411824,0.452168960659629,-0.589428158052745,480.583185410615,-0.147246945412127,-1.80053014277631
0.017,1.06052550611346,0.0300100496058373,2.74659113448966,-2.15025858028755,-0.66399410520676,-0.207702949275005,3.21078408640102,0.694004154812598,2.95429408376466,480.748628147197,-0.089673122676976,-1.96546817012756
0.018,1.06050184780915,0.030000391630224,2.74656318654904,-3.37132335071569,0.348587771101997,0.344693500844395,4.43182519852485,-0.318587379471773,2.40186968570464,480.795823164454,-0.0547466149486339,-2.06552646839325
0.019,1.06046986214665,0.0299896958021796,2.74656136105933,-2.32959289297312,0.436146709670952,2.06822689653,3.39006275511977,-0.406157013868773,0.678334464529335,480.771420814202,-0.0335780101053734,-2.12618179379475
