data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13
0,-0.00211745803384401,-0.00222928231486931,-0.00233469441843442,-0.00243298704548557,-0.00252353438461188,-0.00260580061606002,-0.00267934636632491,-0.00274383299678939,-0.00279902468691157,-0.00284478834774693,-0.00288109147154453,-0.0029079980846993
0.001,-0.00211745803384401,-0.00222928231486931,-0.00233469441843442,-0.00243298704548557,-0.00252353438461188,-0.00260580061606002,-0.00267934636632491,-0.00274383299678939,-0.00279902468691157,-0.00284478834774693,-0.00288109147154453,-0.0029079980846993
0.002,3.88617784832194e-18,3.88653415225987e-18,3.88689049539976e-18,3.88724687774663e-18,3.88760329930553e-18,3.88795976008147e-18,3.8883162600795e-18,3.88867279930465e-18,3.88902937776196e-18,3.88938599545646e-18,3.8897426523932e-18,3.8900993485772e-18
0.003,2.07471011500717e-13,2.0763885788824e-13,2.07806867247488e-13,2.07975039763099e-13,2.08143375619954e-13,2.08311875003168e-13,2.08480538098099e-13,2.08649365090346e-13,2.08818356165746e-13,2.08987511510378e-13,2.09156831310563e-13,2.09326315752862e-13
0.004,3.48159263763516e-12,3.48654508270819e-12,3.49150598345321e-12,3.49647535671747e-12,3.50145321938658e-12,3.50643958838463e-12,3.51143448067427e-12,3.51643791325683e-12,3.5214499031724e-12,3.52647046749991e-12,3.53149962335731e-12,3.53653738790157e-12
0.005,4.12915243663548e-14,4.13157100944349e-14,4.13399128245651e-14,4.13641325706921e-14,4.13883693467754e-14,4.14126231667878e-14,4.1436894044715e-14,4.14611819945561e-14,4.1485487030323e-14,4.1509809166041e-14,4.15341484157485e-14,4.15585047934969e-14
0.006,4.24463746831586e-15,4.24621469521149e-15,4.24779262550655e-15,4.24937125956712e-15,4.25095059775955e-15,4.25253064045036e-15,4.25411138800632e-15,4.25569284079439e-15,4.25727499918178e-15,4.25885786353588e-15,4.26044143422433e-15,4.26202571161499e-15
0.007,1.31081332939994e-15,1.31119838079972e-15,1.31158356795917e-15,1.31196889093416e-15,1.31235434978059e-15,1.31273994455439e-15,1.31312567531152e-15,1.31351154210796e-15,1.31389754499971e-15,1.31428368404282e-15,1.31466995929333e-15,1.31505637080734e-15
0.008,6.86549251201196e-16,6.86726453505052e-16,6.86903710707259e-16,6.87081022827674e-16,6.87258389886165e-16,6.87435811902608e-16,6.87613288896886e-16,6.87790820888892e-16,6.87968407898526e-16,6.88146049945694e-16,6.88323747050316e-16,6.88501499232314e-16
0.009,4.74333490658942e-16,4.74447190491742e-16,4.74560923039095e-16,4.7467468831199e-16,4.74788486321427e-16,4.74902317078405e-16,4.75016180593932e-16,4.75130076879016e-16,4.75244005944673e-16,4.75357967801919e-16,4.75471962461778e-16,4.75585989935276e-16
0.01,3.82298830894955e-16,3.82386599771283e-16,3.82474392835155e-16,3.82562210094355e-16,3.82650051556672e-16,3.82737917229897e-16,3.82825807121825e-16,3.82913721240253e-16,3.8300165959298e-16,3.83089622187809e-16,3.83177609032548e-16,3.83265620135002e-16
0.011,3.36680121124406e-16,3.36755476825678e-16,3.36830852772691e-16,3.36906248971797e-16,3.36981665429355e-16,3.37057102151722e-16,3.37132559145259e-16,3.37208036416329e-16,3.37283533971297e-16,3.37359051816529e-16,3.37434589958399e-16,3.37510148403275e-16
0.012,3.12359220784415e-16,3.12428092183442e-16,3.12496981810741e-16,3.12565889671949e-16,3.12634815772704e-16,3.12703760118645e-16,3.12772722715414e-16,3.12841703568655e-16,3.12910702684014e-16,3.12979720067139e-16,3.13048755723679e-16,3.13117809659287e-16
0.013,2.98911851573013e-16,2.98977180304151e-16,2.99042526174432e-16,2.99107889189109e-16,2.99173269353435e-16,2.99238666672669e-16,2.99304081152069e-16,2.99369512796893e-16,2.99434961612406e-16,2.99500427603869e-16,2.99565910776551e-16,2.99631411135718e-16
