data1,data2,data3
0,0.810096563155296,0.819401438239882
0.001,0.810096563155296,0.819401438239882
0.002,0.810096563155296,0.819401438239882
0.003,0.811985868897004,0.819401438239882
0.004,0.823000646840095,0.819577246187634
0.005,0.462041778169413,0.83680452902803
0.006,0.129636996566709,-2.09938094616451
0.007,0.240072419245425,-1.73883288084782
0.008,0.246773765778221,-1.72639279188716
0.009,0.286327630926969,-1.67066915893447
0.01,0.303246736369985,-1.65007031043307
0.011,0.329872482852291,-1.62019548162398
0.012,0.348362740573147,-1.60040457024012
0.013,0.370819591560768,-1.57702663264392
0.014,0.38985186357658,-1.5575388651393
0.015,0.410653404995441,-1.53644984662748
0.016,0.429931635645327,-1.51702163298885
0.017,0.450013963199293,-1.49685596552931
0.018,0.469403102760028,-1.47742878573371
0.019,0.489154758117926,-1.4576644902702
0.02,0.508585530916159,-1.43823682139666
0.021,0.528175100631639,-1.41865987123272
0.022,0.547612209325084,-1.39924098799594
0.023,0.56711447328121,-1.37976048406486
0.024,0.586540745373694,-1.36035798902399
0.025,0.605989558883675,-1.34093426048842
0.026,0.625397265991075,-1.32155236490623
0.027,0.644808414697884,-1.30216746676989
0.028,0.66419455114245,-1.28280793071771
0.029,0.683575840700175,-1.26345337545787
0.03,0.702939644128886,-1.24411639980214
0.031,0.722295146035814,-1.22478779126127
0.032,0.741636822828216,-1.20547304101965
0.033,0.760968894642536,-1.18616792001627
0.034,0.780289002305666,-1.1668747750763
0.035,0.799599117806662,-1.14759163147007
0.036,0.818898270056412,-1.12831945560801
0.037,0.838187401767443,-1.10905730413271
0.038,0.857466135127764,-1.0898055530438
0.039,0.876734929557792,-1.07056374287449
0.04,0.895993646627486,-1.05133201137763
0.041,0.915242507018359,-1.0321101379378
0.042,0.934481454921748,-1.01289817807068
0.043,0.953710581889812,-0.993696040300428
0.044,0.972929845753566,-0.974503766611621
0.045,0.992139258129083,-0.9553213454348
0.046,1.01133876026906,-0.936148835328837
0.047,1.03052830589231,-0.916986282569085
0.048,1.04970780638896,-0.897833775549281
0.049,1.06887716729058,-0.878691408668996
0.05,1.0880362640633,-0.859559306207161
0.051,1.10718495802214,-0.84043760672009
0.052,1.12632308555157,-0.821326473499029
0.053,1.1454504648899,-0.802226088132339
0.054,1.16456689120087,-0.783136655071082
0.055,1.18367213924431,-0.764058399320554
0.056,1.20276596095724,-0.744991568492433
0.057,1.22184808622864,-0.725936432400113
0.058,1.24091822150623,-0.706893284074218
0.059,1.25997604965508,-0.687862440300613
0.06,1.27902122890697,-0.668844242236306
0.061,1.29805339222927,-0.649839056504988
0.062,1.31707214632681,-0.630847275715184
0.063,1.33607707067145,-0.611869319905667
0.064,1.3550677164124,-0.592905637152236
0.065,1.37404360513975,-0.573956705302211
0.066,1.39300422760849,-0.555023032732319
0.067,1.41194904224147,-0.536105160375636
0.068,1.43087747360141,-0.5172036626876
0.069,1.44978891061097,-0.498319150002981
