data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13
0,-0.0199840095948826,-0.0398723065459482,-0.0595703216527317,-0.0789857471798929,-0.0980296049406921,-0.116617241688145,-0.134669231589677,-0.152112168730119,-0.168879336239659,-0.18491124260355,-0.200156019797832,-0.214569681933347
0.001,-0.0199840095948826,-0.0398723065459482,-0.0595703216527317,-0.0789857471798929,-0.0980296049406921,-0.116617241688145,-0.134669231589677,-0.152112168730119,-0.168879336239659,-0.18491124260355,-0.200156019797832,-0.214569681933347
0.002,7.70730293366474e-10,7.70772693787931e-10,7.7081509731956e-10,7.70857503961648e-10,7.70899913714478e-10,7.70942326578337e-10,7.70984742553509e-10,7.7102716164028e-10,7.71069583838935e-10,7.7111200914976e-10,7.7115443757304e-10,7.7119686910906e-10
0.003,5.29641122532897e-07,5.29898309248035e-07,5.30155662501779e-07,5.30413182428948e-07,5.30670869164493e-07,5.30928722843494e-07,5.31186743601165e-07,5.3144493157285e-07,5.31703286894025e-07,5.31961809700296e-07,5.32220500127404e-07,5.3247935831122e-07
0.004,2.88002887108402e-06,2.88248849607822e-06,2.88495092246539e-06,2.8874161542347e-06,2.88988419538215e-06,2.89235504991056e-06,2.89482872182963e-06,2.89730521515586e-06,2.89978453391268e-06,2.90226668213038e-06,2.90475166384614e-06,2.90723948310408e-06
0.005,2.00971417279676e-07,2.01042066097988e-07,2.01112748036117e-07,2.01183463113476e-07,2.0125421134949e-07,2.013249927636e-07,2.0139580737526e-07,2.01466655203938e-07,2.01537536269114e-07,2.01608450590285e-07,2.01679398186958e-07,2.01750379078656e-07
0.006,5.13024089232753e-08,5.131384886205e-08,5.13252922030049e-08,5.13367389474056e-08,5.13481890965184e-08,5.13596426516101e-08,5.13710996139479e-08,5.13825599847996e-08,5.13940237654339e-08,5.14054909571195e-08,5.14169615611262e-08,5.14284355787241e-08
0.007,2.53447995507049e-08,2.53492672478829e-08,2.53537359954965e-08,2.53582057938548e-08,2.53626766432671e-08,2.53671485440426e-08,2.5371621496491e-08,2.53760955009216e-08,2.53805705576444e-08,2.53850466669689e-08,2.53895238292051e-08,2.53940020446631e-08
0.008,1.71923724840936e-08,1.71950353157259e-08,1.71976986975055e-08,1.72003626295746e-08,1.72030271120758e-08,1.72056921451515e-08,1.72083577289441e-08,1.72110238635962e-08,1.72136905492504e-08,1.72163577860493e-08,1.72190255741355e-08,1.72216939136517e-08
0.009,1.37710191904625e-08,1.37730000260583e-08,1.37749812417415e-08,1.37769628376037e-08,1.37789448137361e-08,1.37809271702303e-08,1.37829099071776e-08,1.37848930246697e-08,1.3786876522798e-08,1.3788860401654e-08,1.37908446613293e-08,1.37928293019156e-08
0.01,1.20989632065588e-08,1.2100630030891e-08,1.21022971615613e-08,1.21039645986404e-08,1.21056323421987e-08,1.2107300392307e-08,1.21089687490359e-08,1.21106374124559e-08,1.21123063826378e-08,1.21139756596523e-08,1.211564524357e-08,1.21173151344617e-08
0.011,1.12106580960437e-08,1.12121637748785e-08,1.12136697234956e-08,1.12151759419556e-08,1.12166824303191e-08,1.12181891886468e-08,1.12196962169993e-08,1.12212035154373e-08,1.12227110840215e-08,1.12242189228126e-08,1.12257270318712e-08,1.12272354112582e-08
0.012,1.07174044655364e-08,1.07188224639088e-08,1.07202407125737e-08,1.07216592115865e-08,1.07230779610026e-08,1.07244969608774e-08,1.07259162112664e-08,1.0727335712225e-08,1.07287554638087e-08,1.0730175466073e-08,1.07315957190734e-08,1.07330162228654e-08
0.013,1.04380774445463e-08,1.04394463779534e-08,1.0440815550876e-08,1.04421849633666e-08,1.04435546154777e-08,1.0444924507262e-08,1.04462946387721e-08,1.04476650100604e-08,1.04490356211798e-08,1.04504064721828e-08,1.0451777563122e-08,1.04531488940501e-08
0.014,1.02798929494587e-08,1.02812342885732e-08,1.02825758611839e-08,1.02839176673417e-08,1.02852597070977e-08,1.02866019805028e-08,1.02879444876081e-08,1.02892872284645e-08,1.02906302031232e-08,1.02919734116351e-08,1.02933168540514e-08,1.02946605304231e-08
0.015,1.01921756763434e-08,1.01935017727838e-08,1.01948280994081e-08,1.01961546562667e-08,1.01974814434095e-08,1.01988084608867e-08,1.02001357087485e-08,1.02014631870451e-08,1.02027908958265e-08,1.0204118835143e-08,1.02054470050449e-08,1.02067754055822e-08
0.016,1.01461592793254e-08,1.01474773953519e-08,1.01487957398318e-08,1.01501143128147e-08,1.01514331143504e-08,1.01527521444886e-08,1.01540714032788e-08,1.01553908907709e-08,1.01567106070145e-08,1.01580305520594e-08,1.01593507259553e-08,1.0160671128752e-08
0.017,1.01250666567177e-08,1.01263811168938e-08,1.01276958047311e-08,1.01290107202788e-08,1.01303258635865e-08,1.01316412347037e-08,1.01329568336799e-08,1.01342726605644e-08,1.0135588715407e-08,1.0136904998257e-08,1.01382215091641e-08,1.01395382481777e-08
0.018,1.01189713128018e-08,1.01202847144799e-08,1.01215983435892e-08,1.01229122001791e-08,1.0124226284299e-08,1.01255405959983e-08,1.01268551353265e-08,1.0128169902333e-08,1.01294848970672e-08,1.01308001195786e-08,1.01321155699168e-08,1.01334312481311e-08
0.019,1.01219385615471e-08,1.01232524732382e-08,1.012456661247e-08,1.01258809792921e-08,1.01271955737538e-08,1.01285103959047e-08,1.01298254457942e-08,1.01311407234717e-08,1.01324562289868e-08,1.01337719623888e-08,1.01350879237275e-08,1.01364041130521e-08
0.02,1.01304024517137e-08,1.01317178250306e-08,1.0133033426204e-08,1.01343492552833e-08,1.0135665312318e-08,1.01369815973578e-08,1.01382981104521e-08,1.01396148516505e-08,1.01409318210025e-08,1.01422490185577e-08,1.01435664443658e-08,1.01448840984763e-08
0.021,1.0142208017357e-08,1.01435254313867e-08,1.0144843073714e-08,1.01461609443885e-08,1.01474790434597e-08,1.01487973709775e-08,1.01501159269913e-08,1.01514347115508e-08,1.01527537247059e-08,1.0154072966506e-08,1.0155392437001e-08,1.01567121362406e-08
0.022,1.0156054266313e-08,1.01573740754125e-08,1.01586941133276e-08,1.0160014380108e-08,1.01613348758036e-08,1.0162655600464e-08,1.01639765541392e-08,1.01652977368788e-08,1.01666191487328e-08,1.01679407897508e-08,1.01692626599828e-08,1.01705847594787e-08
0.023,1.01711528813835e-08,1.01724753037329e-08,1.01737979554635e-08,1.01751208366252e-08,1.01764439472678e-08,1.01777672874414e-08,1.01790908571958e-08,1.0180414656581e-08,1.0181738685647e-08,1.01830629444437e-08,1.01843874330211e-08,1.01857121514293e-08
0.024,1.01870258198763e-08,1.01883509910448e-08,1.01896763921897e-08,1.01910020233612e-08,1.01923278846092e-08,1.01936539759838e-08,1.01949802975351e-08,1.01963068493133e-08,1.01976336313684e-08,1.01989606437506e-08,1.020028788651e-08,1.02016153596968e-08
0.025,1.02033833316991e-08,1.02047113371757e-08,1.02060395732429e-08,1.02073680399507e-08,1.02086967373496e-08,1.02100256654897e-08,1.02113548244212e-08,1.02126842141945e-08,1.02140138348597e-08,1.02153436864673e-08,1.02166737690675e-08,1.02180040827106e-08
0.026,1.02200158286819e-08,1.02213467177099e-08,1.02226778379536e-08,1.02240091894634e-08,1.02253407722896e-08,1.02266725864826e-08,1.02280046320928e-08,1.02293369091707e-08,1.02306694177667e-08,1.02320021579313e-08,1.02333351297149e-08,1.0234668333168e-08
0.027,1.02369192869894e-08,1.02382531081797e-08,1.02395871612217e-08,1.02409214461659e-08,1.02422559630629e-08,1.02435907119632e-08,1.02449256929174e-08,1.02462609059761e-08,1.02475963511899e-08,1.02489320286095e-08,1.02502679382854e-08,1.02516040802684e-08
0.028,1.02539265622203e-08,1.0255263335204e-08,1.025660034068e-08,1.0257937578699e-08,1.02592750493117e-08,1.02606127525689e-08,1.02619506885213e-08,1.02632888572196e-08,1.02646272587147e-08,1.02659658930573e-08,1.02673047602982e-08,1.02686438604883e-08
0.029,1.02710325990774e-08,1.02723723426385e-08,1.0273712319337e-08,1.02750525292237e-08,1.02763929723495e-08,1.02777336487653e-08,1.0279074558522e-08,1.02804157016706e-08,1.02817570782621e-08,1.02830986883472e-08,1.02844405319771e-08,1.02857826092027e-08
0.03,1.02882137909463e-08,1.02895565197862e-08,1.02908994824121e-08,1.02922426788749e-08,1.02935861092258e-08,1.02949297735158e-08,1.0296273671796e-08,1.02976178041176e-08,1.02989621705315e-08,1.0300306771089e-08,1.03016516058412e-08,1.03029966748392e-08
0.031,1.03054556741205e-08,1.03068014004395e-08,1.03081473611961e-08,1.03094935564414e-08,1.03108399862268e-08,1.03121866506034e-08,1.03135335496225e-08,1.03148806833354e-08,1.03162280517933e-08,1.03175756550476e-08,1.03189234931496e-08,1.03202715661505e-08
0.032,1.03227496959051e-08,1.03240984304314e-08,1.03254474000496e-08,1.0326796604811e-08,1.03281460447671e-08,1.03294957199693e-08,1.03308456304689e-08,1.03321957763175e-08,1.03335461575665e-08,1.03348967742673e-08,1.03362476264715e-08,1.03375987142305e-08
0.033,1.0340090571223e-08,1.03414423237764e-08,1.03427943120784e-08,1.03441465361807e-08,1.03454989961348e-08,1.03468516919923e-08,1.03482046238048e-08,1.03495577916238e-08,1.03509111955011e-08,1.03522648354883e-08,1.0353618711637e-08,1.03549728239989e-08
0.034,1.03574752173512e-08,1.03588299972244e-08,1.03601850135054e-08,1.0361540266246e-08,1.0362895755498e-08,1.0364251481313e-08,1.0365607443743e-08,1.03669636428396e-08,1.03683200786546e-08,1.03696767512399e-08,1.03710336606474e-08,1.03723908069287e-08
0.035,1.03749017190212e-08,1.03762595351839e-08,1.03776175884159e-08,1.03789758787692e-08,1.03803344062957e-08,1.03816931710473e-08,1.03830521730761e-08,1.03844114124338e-08,1.03857708891726e-08,1.03871306033443e-08,1.03884905550011e-08,1.03898507441948e-08
0.036,1.03923690754445e-08,1.0393729936702e-08,1.03950910356926e-08,1.03964523724686e-08,1.03978139470818e-08,1.03991757595846e-08,1.04005378100289e-08,1.04019000984669e-08,1.04032626249507e-08,1.04046253895325e-08,1.04059883922646e-08,1.04073516331989e-08
0.037,1.04098765752512e-08,1.0411240490294e-08,1.0412604643736e-08,1.04139690356294e-08,1.04153336660267e-08,1.041669853498e-08,1.04180636425416e-08,1.04194289887638e-08,1.0420794573699e-08,1.04221603973994e-08,1.04235264599175e-08,1.04248927613056e-08
0.038,1.04274239741295e-08,1.0428790951615e-08,1.04301581681681e-08,1.04315256238411e-08,1.04328933186866e-08,1.04342612527569e-08,1.04356294261046e-08,1.04369978387821e-08,1.0438366490842e-08,1.04397353823366e-08,1.04411045133186e-08,1.04424738838405e-08
0.039,1.04450110343575e-08,1.04463810829114e-08,1.04477513712034e-08,1.04491218992862e-08,1.04504926672123e-08,1.04518636750343e-08,1.0453234922805e-08,1.0454606410577e-08,1.04559781384029e-08,1.04573501063354e-08,1.04587223144273e-08,1.04600947627312e-08
0.04,1.04626377778287e-08,1.04640109060898e-08,1.04653842747618e-08,1.04667578838976e-08,1.04681317335499e-08,1.04695058237715e-08,1.04708801546153e-08,1.04722547261341e-08,1.04736295383807e-08,1.0475004591408e-08,1.04763798852689e-08,1.04777554200162e-08
0.041,1.04803041260251e-08,1.04816803426279e-08,1.04830568003168e-08,1.04844334991447e-08,1.04858104391645e-08,1.04871876204293e-08,1.0488565042992e-08,1.04899427069058e-08,1.04913206122235e-08,1.04926987589982e-08,1.0494077147283e-08,1.0495455777131e-08
0.042,1.04980102170177e-08,1.04993895306306e-08,1.05007690860069e-08,1.05021488831997e-08,1.05035289222623e-08,1.05049092032476e-08,1.0506289726209e-08,1.05076704911996e-08,1.05090514982727e-08,1.05104327474813e-08,1.05118142388789e-08,1.05131959725185e-08
0.043,1.0515756023703e-08,1.0517138442999e-08,1.05185211047381e-08,1.05199040089735e-08,1.05212871557586e-08,1.05226705451467e-08,1.05240541771912e-08,1.05254380519455e-08,1.05268221694628e-08,1.05282065297967e-08,1.05295911330005e-08,1.05309759791277e-08
0.044,1.05335417398143e-08,1.053492727351e-08,1.05363130503307e-08,1.05376990703298e-08,1.05390853335609e-08,1.05404718400775e-08,1.0541858589933e-08,1.05432455831811e-08,1.05446328198754e-08,1.05460203000693e-08,1.05474080238166e-08,1.05487959911707e-08
0.045,1.05513673451375e-08,1.05527560019555e-08,1.05541449025828e-08,1.05555340470728e-08,1.05569234354794e-08,1.05583130678562e-08,1.05597029442569e-08,1.05610930647353e-08,1.05624834293451e-08,1.05638740381401e-08,1.0565264891174e-08,1.05666559885007e-08
0.046,1.05692330539136e-08,1.05706248426238e-08,1.05720168758297e-08,1.05734091535851e-08,1.05748016759439e-08,1.057619444296e-08,1.05775874546872e-08,1.05789807111796e-08,1.0580374212491e-08,1.05817679586753e-08,1.05831619497865e-08,1.05845561858786e-08
0.047,1.05871388546762e-08,1.05885337840561e-08,1.05899289586204e-08,1.05913243784233e-08,1.05927200435188e-08,1.05941159539608e-08,1.05955121098037e-08,1.05969085111013e-08,1.05983051579078e-08,1.05997020502774e-08,1.06010991882642e-08,1.06024965719223e-08
0.048,1.06050849658786e-08,1.06064830447537e-08,1.06078813695044e-08,1.06092799401849e-08,1.06106787568495e-08,1.06120778195524e-08,1.06134771283479e-08,1.06148766832903e-08,1.06162764844339e-08,1.06176765318329e-08,1.06190768255417e-08,1.06204773656146e-08
0.049,1.06230713841288e-08,1.06244726213337e-08,1.06258741051077e-08,1.06272758355053e-08,1.06286778125807e-08,1.06300800363885e-08,1.0631482506983e-08,1.06328852244188e-08,1.06342881887503e-08,1.0635691400032e-08,1.06370948583185e-08,1.06384985636641e-08
0.05,1.06410983313779e-08,1.06425027357962e-08,1.06439073874794e-08,1.06453122864821e-08,1.06467174328588e-08,1.06481228266642e-08,1.0649528467953e-08,1.06509343567797e-08,1.06523404931991e-08,1.06537468772657e-08,1.06551535090343e-08,1.06565603885596e-08
0.051,1.06591657932143e-08,1.06605733737368e-08,1.06619812022222e-08,1.06633892787254e-08,1.06647976033013e-08,1.06662061760045e-08,1.06676149968899e-08,1.06690240660124e-08,1.06704333834267e-08,1.06718429491878e-08,1.06732527633505e-08,1.06746628259696e-08
0.052,1.06772740060033e-08,1.0678684771572e-08,1.06800957858043e-08,1.0681507048755e-08,1.06829185604792e-08,1.06843303210319e-08,1.0685742330468e-08,1.06871545888425e-08,1.06885670962106e-08,1.06899798526271e-08,1.06913928581473e-08,1.06928061128261e-08
0.053,1.06954229534929e-08,1.06968369130572e-08,1.06982511219879e-08,1.06996655803401e-08,1.07010802881689e-08,1.07024952455297e-08,1.07039104524775e-08,1.07053259090675e-08,1.0706741615355e-08,1.07081575713952e-08,1.07095737772433e-08,1.07109902329546e-08
0.054,1.07136128742222e-08,1.07150300367832e-08,1.07164474494158e-08,1.07178651121754e-08,1.07192830251173e-08,1.07207011882968e-08,1.07221196017693e-08,1.07235382655903e-08,1.07249571798151e-08,1.07263763444991e-08,1.07277957596977e-08,1.07292154254665e-08
0.055,1.07318437482769e-08,1.07332641228422e-08,1.07346847481868e-08,1.07361056243661e-08,1.07375267514357e-08,1.07389481294512e-08,1.0740369758468e-08,1.07417916385418e-08,1.07432137697281e-08,1.07446361520826e-08,1.07460587856609e-08,1.07474816705185e-08
0.056,1.07501158179504e-08,1.07515394135804e-08,1.07529632606997e-08,1.07543873593639e-08,1.07558117096288e-08,1.07572363115501e-08,1.07586611651836e-08,1.07600862705849e-08,1.076151162781e-08,1.07629372369144e-08,1.07643630979542e-08,1.07657892109851e-08
0.057,1.07684290583358e-08,1.07698558840966e-08,1.0771282962059e-08,1.07727102922789e-08,1.07741378748123e-08,1.07755657097151e-08,1.07769937970431e-08,1.07784221368524e-08,1.07798507291989e-08,1.07812795741386e-08,1.07827086717275e-08,1.07841380220216e-08
0.058,1.07867837267766e-08,1.07882137917896e-08,1.0789644109719e-08,1.0791074680621e-08,1.07925055045517e-08,1.0793936581567e-08,1.07953679117233e-08,1.07967994950765e-08,1.07982313316829e-08,1.07996634215987e-08,1.08010957648799e-08,1.08025283615829e-08
0.059,1.08051797824689e-08,1.08066130958586e-08,1.0808046662882e-08,1.08094804835952e-08,1.08109145580548e-08,1.08123488863169e-08,1.08137834684378e-08,1.08152183044739e-08,1.08166533944816e-08,1.08180887385171e-08,1.0819524336637e-08,1.08209601888974e-08
0.06,1.0823617494433e-08,1.08250540653814e-08,1.08264908906832e-08,1.08279279703948e-08,1.08293653045727e-08,1.08308028932734e-08,1.08322407365533e-08,1.0833678834469e-08,1.08351171870771e-08,1.0836555794434e-08,1.08379946565964e-08,1.08394337736209e-08
0.061,1.08420968203679e-08,1.084353665806e-08,1.08449767508275e-08,1.08464170987271e-08,1.08478577018155e-08,1.08492985601493e-08,1.08507396737852e-08,1.085218104278e-08,1.08536226671904e-08,1.0855064547073e-08,1.08565066824848e-08,1.08579490734824e-08
0.062,1.08606180298333e-08,1.08620611435119e-08,1.08635045129904e-08,1.08649481383257e-08,1.08663920195747e-08,1.08678361567942e-08,1.08692805500412e-08,1.08707251993725e-08,1.08721701048451e-08,1.08736152665159e-08,1.08750606844418e-08,1.08765063586799e-08
0.063,1.08791810732475e-08,1.08806274721567e-08,1.08820741275929e-08,1.0883521039613e-08,1.08849682082742e-08,1.08864156336336e-08,1.08878633157481e-08,1.0889311254675e-08,1.08907594504712e-08,1.0892207903194e-08,1.08936566129006e-08,1.08951055796479e-08
0.064,1.08977862308891e-08,1.08992359243333e-08,1.09006858750338e-08,1.0902136083048e-08,1.09035865484331e-08,1.09050372712464e-08,1.0906488251545e-08,1.09079394893865e-08,1.09093909848279e-08,1.09108427379268e-08,1.09122947487403e-08,1.09137470173259e-08
0.065,1.09164334488559e-08,1.091788644614e-08,1.09193397014124e-08,1.09207932147306e-08,1.0922246986152e-08,1.09237010157341e-08,1.09251553035343e-08,1.09266098496101e-08,1.09280646540191e-08,1.09295197168188e-08,1.09309750380667e-08,1.09324306178203e-08
