data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13
0,500,500,500,500,500,500,500,500,500,500,500,500
0.001,500,500,500,500,500,500,500,500,500,500,500,500
0.002,500,500,500,500,500,500,500,500,500,500,500,500
0.003,499.999879550542,499.999879546124,499.999879541707,499.999879537289,499.99987953287,499.999879528452,499.999879524033,499.999879519614,499.999879515195,499.999879510776,499.999879506356,499.999879501936
0.004,499.999042704185,499.999042428893,499.99904215347,499.999041877915,499.999041602228,499.999041326409,499.999041050458,499.999040774374,499.999040498159,499.99904022181,499.99903994533,499.999039668717
0.005,500.00420618987,500.004208853603,500.004211519714,500.004214188206,500.004216859081,500.004219532343,500.004222207993,500.004224886035,500.004227566472,500.004230249307,500.004232934541,500.004235622179
0.006,500.004599394545,500.004602150421,500.004604908707,500.004607669407,500.004610432522,500.004613198056,500.004615966011,500.004618736391,500.004621509198,500.004624284435,500.004627062104,500.004629842209
0.007,500.001123228616,500.001125467749,500.001127709176,500.001129952902,500.001132198928,500.001134447257,500.001136697892,500.001138950836,500.001141206092,500.001143463662,500.00114572355,500.001147985757
0.008,499.999705569909,499.999707642448,499.999709717252,499.999711794324,499.999713873667,499.999715955285,499.999718039179,499.999720125352,499.999722213808,499.999724304549,499.999726397577,499.999728492896
0.009,499.997659808326,499.997661669633,499.997663533173,499.997665398948,499.997667266962,499.997669137217,499.997671009716,499.997672884461,499.997674761456,499.997676640704,499.997678522206,499.997680405966
0.01,499.996359344948,499.996361081552,499.996362820371,499.996364561407,499.996366304664,499.996368050144,499.99636979785,499.996371547785,499.996373299951,499.996375054352,499.996376810989,499.996378569866
0.011,499.994890347048,499.994891948737,499.994893552622,499.994895158706,499.994896766992,499.994898377483,499.994899990181,499.994901605089,499.99490322221,499.994904841547,499.994906463102,499.994908086878
0.012,499.993514499383,499.993515977884,499.993517458564,499.993518941427,499.993520426475,499.993521913712,499.993523403139,499.993524894759,499.993526388576,499.993527884592,499.99352938281,499.993530883232
