data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13
0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12,-0.14,-0.16,-0.18,-0.2,-0.22,-0.24
0.001,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12,-0.14,-0.16,-0.18,-0.2,-0.22,-0.24
0.002,1090.6840117506,1090.6640117506,1090.6440117506,1090.6240117506,1090.6040117506,1090.5840117506,1090.5640117506,1090.5440117506,1090.5240117506,1090.5040117506,1090.4840117506,1090.4640117506
0.003,123.591085518269,123.571085514543,123.551085510817,123.53108550709,123.511085503363,123.491085499635,123.471085495908,123.45108549218,123.431085488451,123.411085484723,123.391085480994,123.371085477265
0.004,70.276334537547,70.2563345379437,70.2363345383369,70.2163345387266,70.1963345391127,70.1763345394954,70.1563345398745,70.1363345402501,70.1163345406221,70.0963345409906,70.0763345413556,70.0563345417171
0.005,170.717732661475,170.697731920224,170.677731178373,170.657730435924,170.637729692874,170.617728949224,170.597728204972,170.577727460118,170.557726714661,170.537725968601,170.517725221937,170.497724474669
0.006,269.122546255758,269.102544956398,269.082543655962,269.062542354448,269.042541051855,269.022539748181,269.002538443426,268.982537137587,268.962535830665,268.942534522657,268.922533213563,268.902531903381
0.007,340.435270334696,340.415268855044,340.395267374008,340.375265891588,340.355264407781,340.335262922585,340.315261436,340.295259948023,340.275258458653,340.255256967889,340.235255475728,340.21525398217
0.008,387.453392070195,387.433390452363,387.41338883294,387.393387211926,387.373385589319,387.353383965116,387.333382339316,387.313380711917,387.293379082916,387.273377452313,387.253375820105,387.233374186291
0.009,417.198727775358,417.178726128636,417.158724480199,417.138722830046,417.118721178176,417.098719524584,417.078717869271,417.058716212233,417.038714553469,417.018712892976,416.998711230753,416.978709566798
0.01,435.594534659683,435.574533001093,435.554531340713,435.53452967854,435.514528014571,435.494526348806,435.474524681242,435.454523011876,435.434521340706,435.414519667732,435.394517992949,435.374516316357
0.011,446.808589921186,446.788588285441,446.768586647861,446.748585008445,446.728583367189,446.708581724093,446.688580079153,446.668578432367,446.648576783734,446.628575133252,446.608573480917,446.588571826727
