data1,data2,data3,data4,data5,data6,data7,data8,data9,data10
0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0,0
0.002,0.00318795195495195,5.90499249438462e-06,-8.23540099309564e-05,0,0,0,0.00318795195495195,5.90499249438462e-06,-8.23540099309564e-05
0.003,0.0185022040831088,7.59845846384257e-06,-0.000521455705153739,0.00102952457838073,-3.5834752137227e-07,4.61575550993769e-05,0.0195317286614895,7.2401109424703e-06,-0.000475298150054362
0.004,1.41746417462699,0.00914128845050129,-0.0117812736850905,0.00698096106122327,-4.16826628349354e-06,0.000316250517021942,1.42444513568822,0.0091371201842178,-0.0114650231680686
0.005,2.61277779260673,-0.213988622491338,-0.520066564144506,0.424879897092443,-0.000558993771603053,0.00673312875580977,3.03765768969918,-0.214547616262941,-0.513333435388696
0.006,-0.822543546422417,0.00315015341424273,0.211048029313687,0.0647612657997428,0.00780632099655853,0.339390841073733,-0.757782280622674,0.0109564744108013,0.55043887038742
0.007,-0.214711453798952,0.00158888670113631,0.0912955662554108,1.08122684923794,0.1348064560159,0.0184739139814526,0.866515395438987,0.136395342717036,0.109769480236863
0.008,-0.116656789638638,0.000911595713358665,0.0590028280483155,-0.309168492680658,-0.0156490183636572,-0.388109506722858,-0.425825282319296,-0.0147374226502986,-0.329106678674542
0.009,-0.078578702794898,0.000773564031410065,0.0467655047730145,0.383966962778025,-0.0851650247101992,0.1417691993602,0.305388259983127,-0.0843914606787891,0.188534704133215
0.01,-0.0629331492108263,0.000739901784783181,0.0410295306670518,-0.187963399281934,0.0147493005033406,0.0901061403456655,-0.25089654849276,0.0154892022881238,0.131135671012717
0.011,-0.0537764825824507,0.000694453864302501,0.0382075028364987,0.147852826453164,0.0522909135119313,-0.18773424961062,0.0940763438707137,0.0529853673762338,-0.149526746774122
0.012,-0.0487052714886197,0.000658441519400836,0.0368667664052766,-0.106252769539909,-0.0132018306703534,0.0149995989514145,-0.154958041028529,-0.0125433891509526,0.0518663653566911
0.013,-0.0450293311538309,0.000655099458533584,0.036252628262707,0.0538451104483126,-0.0326430536982588,0.057757639476408,0.00881577929448163,-0.0319879542397252,0.094010267739115
0.014,-0.0425268509535359,0.000663369373611671,0.0360663721384618,-0.0603805962577834,0.00998912321018758,-0.0852107413712422,-0.102907447211319,0.0106524925837993,-0.0491443692327804
0.015,-0.040405596590055,0.000663227758087948,0.0361587362880411,0.0152467958276289,0.0195094050404039,-0.0248581101183448,-0.0251588007624261,0.0201726327984919,0.0113006261696962
0.016,-0.0386844509595556,0.000662861174363246,0.0363935268217192,-0.0360024220131507,-0.00803078548741704,0.0218322329559463,-0.0746868729727063,-0.0073679243130538,0.0582257597776655
0.017,-0.0370733959290718,0.000671433494214253,0.0367133703741505,-0.00045569606620479,-0.0122603168439058,-0.0403384707051021,-0.0375290919952766,-0.0115888833496916,-0.0036251003309516
0.018,-0.0356081360586148,0.000681994508786691,0.0370999059024125,-0.0232325565607415,0.0054020098291315,-0.0310838694024519,-0.0588406926193564,0.00608400433791819,0.00601603649996055
0.019,-0.0341728703932031,0.000688323573371116,0.0375201454275928,-0.00648619582023777,0.00692387253212679,-0.00142277640484028,-0.0406590662134409,0.00761219610549791,0.0360973690227525
0.02,-0.0327918259111349,0.000694582586351621,0.0379577533558683,-0.0164005912132503,-0.0043339497710267,-0.0241974438401087,-0.0491924171243852,-0.00363936718467508,0.0137603095157596
0.021,-0.0314170031761111,0.000704092593982641,0.0384130602110082,-0.00839665204519544,-0.00457091992699635,-0.0282787034815458,-0.0398136552213065,-0.00386682733301371,0.0101343567294624
0.022,-0.030062011776773,0.000713809914296422,0.0388782082268623,-0.0125235215408337,0.00254811380193896,-0.0135437217902962,-0.0425855333176067,0.00326192371623538,0.0253344864365661
0.023,-0.0287065541682506,0.000721699544758879,0.0393472096134004,-0.00856622540794247,0.00223053762347298,-0.0200977152280347,-0.037272779576193,0.00295223716823186,0.0192494943853658
0.024,-0.0273576861262423,0.000729740690412103,0.0398216203238018,-0.0101103979429532,-0.00225059634414751,-0.0250344105628218,-0.0374680840691956,-0.00152085565373541,0.0147872097609799
0.025,-0.0260067098874311,0.000739047034820205,0.0403000626112026,-0.0080281973072912,-0.00176566767940551,-0.0190322440399302,-0.0340349071947223,-0.00102662064458531,0.0212678185712724
0.026,-0.0246571837313901,0.000748261861519409,0.0407800998002255,-0.0084376096677231,0.00102669782242751,-0.0201175661967615,-0.0330947933991132,0.00177495968394692,0.020662533603464
0.027,-0.0233050078662717,0.000756749523928681,0.0412623951191409,-0.00723259977411633,0.000533389721363644,-0.023244559750186,-0.030537607640388,0.00129013924529233,0.0180178353689549
0.028,-0.0219523917031249,0.000765400302432823,0.0417471734329407,-0.00715802383144767,-0.00120418202697065,-0.0213322165650729,-0.0291104155345726,-0.000438781724537824,0.0204149568678677
0.029,-0.0205972907582991,0.000774552393770788,0.0422333184888834,-0.0063726389127677,-0.000786214136748011,-0.0211151023668439,-0.0269699296710668,-1.16617429772234e-05,0.0211182161220395
