data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13
0,1.55971251239923,0.532626993793608,-4.74829375111397,-1.16239065867128,-0.215258049119545,-4.47639307901116,3.49587120124459,-0.502939448828,1.01449565983746,-0.00785757513212459,-2.66645688295246,0.0986233668374208
0.001,1.55971251239923,0.532626993793608,-4.74829375111397,-1.16239065867128,-0.215258049119545,-4.47639307901116,3.49587120124459,-0.502939448828,1.01449565983746,-0.00785757513212459,-2.66645688295246,0.0986233668374208
0.002,1.55971251239923,0.532626993793608,-4.74829375111397,-1.16239065867128,-0.215258049119545,-4.47639307901116,3.49587120124459,-0.502939448828,1.01449565983746,-0.00785757513212459,-2.66645688295246,0.0986233668374208
0.003,1.55974918869578,0.532700170726981,-4.74818442276465,-1.16224569753764,-0.21507813713328,-4.47617905346656,3.49611835728442,-0.502660280076617,1.01480560107244,-0.00751821082521681,-2.66608954017776,0.099017162749268
0.004,1.55974918869744,0.532700170728636,-4.748184422763,-1.16224569753598,-0.215078137131622,-4.4761790534649,3.49611835728608,-0.502660280074957,1.01480560107411,-0.00751821082355525,-2.6660895401761,0.0990171627509313
0.005,1.55974918888305,0.532700170914333,-4.74818442257722,-1.16224569735012,-0.215078136945682,-4.47617905327888,3.49611835747218,-0.502660279888773,1.01480560126037,-0.00751821063720769,-2.66608953998967,0.099017162937442
0.006,1.55974919005248,0.532700172084761,-4.74818442140579,-1.16224569617769,-0.215078135772243,-4.47617905210444,3.49611835864764,-0.502660278712313,1.01480560243784,-0.00751820945872735,-2.66608953881018,0.099017164117947
0.007,1.5597491900275,0.532700172059775,-4.74818442143078,-1.16224569620269,-0.21507813579725,-4.47617905212945,3.49611835862261,-0.502660278737341,1.0148056024128,-0.00751820948377049,-2.66608953883523,0.0990171640928893
0.008,1.55974919002013,0.532700172052407,-4.74818442143815,-1.16224569621006,-0.215078135804623,-4.47617905213682,3.49611835861524,-0.502660278744718,1.01480560240543,-0.00751820949115058,-2.66608953884261,0.0990171640855063
0.009,1.55974919001348,0.532700172045752,-4.74818442144481,-1.16224569621672,-0.215078135811281,-4.47617905214348,3.49611835860858,-0.50266027875138,1.01480560239876,-0.00751820949781442,-2.66608953884927,0.0990171640788404
0.01,1.55974919000941,0.532700172041677,-4.74818442144888,-1.16224569622079,-0.215078135815358,-4.47617905214756,3.4961183586045,-0.502660278755458,1.01480560239468,-0.00751820950189372,-2.66608953885335,0.0990171640747599
0.011,1.559749190005,0.532700172037273,-4.74818442145329,-1.1622456962252,-0.215078135819763,-4.47617905215197,3.49611835860009,-0.502660278759865,1.01480560239028,-0.00751820950630217,-2.66608953885776,0.0990171640703502
0.012,1.55974919000102,0.532700172033288,-4.74818442145728,-1.16224569622919,-0.21507813582375,-4.47617905215596,3.49611835859611,-0.502660278763854,1.01480560238629,-0.00751820951029203,-2.66608953886175,0.0990171640663592
0.013,1.55974918999715,0.532700172029421,-4.74818442146114,-1.16224569623305,-0.215078135827619,-4.47617905215983,3.49611835859224,-0.502660278767725,1.01480560238242,-0.00751820951416346,-2.66608953886562,0.0990171640624868
0.014,1.5597491899935,0.532700172025767,-4.7481844214648,-1.16224569623671,-0.215078135831274,-4.47617905216348,3.49611835858858,-0.502660278771381,1.01480560237876,-0.00751820951782122,-2.66608953886928,0.0990171640588281
0.015,1.5597491899896,0.532700172021865,-4.7481844214687,-1.16224569624061,-0.215078135835177,-4.47617905216738,3.49611835858468,-0.502660278775286,1.01480560237486,-0.00751820952172637,-2.66608953887319,0.0990171640549219
0.016,1.55974918998585,0.532700172018114,-4.74818442147245,-1.16224569624436,-0.21507813583893,-4.47617905217114,3.49611835858092,-0.50266027877904,1.0148056023711,-0.0075182095254818,-2.66608953887694,0.0990171640511655
0.017,1.55974918998207,0.532700172014337,-4.74818442147623,-1.16224569624814,-0.215078135842708,-4.47617905217492,3.49611835857714,-0.50266027878282,1.01480560236732,-0.00751820952926269,-2.66608953888073,0.0990171640473836
0.018,1.55974918997822,0.532700172010483,-4.74818442148008,-1.162245696252,-0.215078135846563,-4.47617905217877,3.49611835857329,-0.502660278786677,1.01480560236346,-0.00751820953312036,-2.66608953888458,0.0990171640435249
0.019,1.55974918997431,0.532700172006575,-4.74818442148399,-1.16224569625591,-0.215078135850473,-4.47617905218268,3.49611835856938,-0.502660278790588,1.01480560235955,-0.00751820953703259,-2.6660895388885,0.0990171640396117
0.02,1.55974918997041,0.532700172002681,-4.74818442148789,-1.1622456962598,-0.215078135854369,-4.47617905218658,3.49611835856548,-0.502660278794485,1.01480560235565,-0.00751820954093089,-2.6660895388924,0.0990171640357124
0.021,1.55974918996644,0.532700171998707,-4.74818442149186,-1.16224569626378,-0.215078135858344,-4.47617905219055,3.4961183585615,-0.502660278798462,1.01480560235168,-0.00751820954490852,-2.66608953889637,0.0990171640317337
0.022,1.55974918996242,0.532700171994684,-4.74818442149588,-1.1622456962678,-0.215078135862369,-4.47617905219458,3.49611835855748,-0.502660278802488,1.01480560234765,-0.00751820954893571,-2.6660895389004,0.0990171640277055
