var1,var2,var3
0,0,0
0.100033344448149,3.62969949360881e-09,2.33162452284993e-09
0.200066688896299,7.30210531493771e-08,6.44571927758601e-08
0.300100033344448,1.60644028138274e-07,1.5601448276206e-07
0.400133377792598,1.74403789838387e-07,1.7290263779687e-07
0.500166722240747,1.76129024849721e-07,1.74298417535961e-07
0.600200066688896,2.0173073440973e-07,1.96743115851315e-07
0.700233411137046,2.58351418383475e-07,2.5248947131588e-07
0.800266755585195,2.98823212470792e-07,2.94695063585076e-07
0.900300100033344,3.24828505167223e-07,3.21018443873146e-07
1.00033344448149,3.56414399322627e-07,3.51944837574946e-07
1.10036678892964,3.91878829959709e-07,3.87585236907236e-07
1.20040013337779,4.19386565609937e-07,4.15723036965235e-07
1.30043347782594,4.43488705965155e-07,4.39700462505367e-07
1.40046682227409,4.74691767643773e-07,4.70202560354087e-07
1.50050016672224,5.1260290818986e-07,5.07896801519937e-07
1.60053351117039,5.47853762472284e-07,5.43542395203102e-07
1.70056685561854,5.78078853404541e-07,5.74033194620642e-07
1.80060020006669,6.07308793678673e-07,6.0323348954024e-07
1.90063354451484,6.37284465757212e-07,6.33182390646963e-07
2.00066688896299,6.66737757057728e-07,6.62703362880429e-07
2.10070023341114,6.95562349602341e-07,6.91535899542637e-07
2.20073357785929,7.24967690717474e-07,7.20866853200641e-07
2.30076692230744,7.56079261891701e-07,7.51826345678569e-07
2.40080026675558,7.88132948420286e-07,7.83878775316782e-07
2.50083361120373,8.18504413233123e-07,8.14393797903662e-07
2.60086695565188,8.46918445890821e-07,8.42869548356201e-07
2.70090030010003,8.7508858919237e-07,8.709706730746e-07
2.80093364454818,9.03727176368862e-07,8.99538853155042e-07
2.90096698899633,9.32028850471987e-07,9.27839233099416e-07
3.00100033344448,9.59274494007547e-07,9.55109907576241e-07
3.10103367789263,9.8518201110276e-07,9.81082606956708e-07
3.20106702234078,1.00854558572864e-06,1.00461526346843e-06
3.30110036678893,1.02866676648974e-06,1.02491703441887e-06
3.40113371123708,1.04619387119209e-06,1.042550499728e-06
3.50116705568523,1.06236153833103e-06,1.05873855842642e-06
3.60120040013338,1.07804453453623e-06,1.07440010275355e-06
3.70123374458153,1.09341833648201e-06,1.08976065190962e-06
3.80126708902968,1.10818943974198e-06,1.10455130652672e-06
3.90130043347783,1.1219735160837e-06,1.11838657135717e-06
4.00133377792597,1.13454274231793e-06,1.13102315164205e-06
4.10136712237412,1.14592512712133e-06,1.1424695167361e-06
4.20140046682227,1.15637292730475e-06,1.15296456995597e-06
4.30143381127042,1.16621771087483e-06,1.16283936268768e-06
4.40146715571857,1.17598171966633e-06,1.17257488859122e-06
