var1,var2,var3
0,0,0
0.100050025012506,1.63742094218043e-14,1.03058501453101e-14
0.200100050025012,2.10583836186879e-12,1.8804742548743e-12
0.300150075037519,5.06798202140986e-12,5.03493186652611e-12
0.400200100050025,4.65493459283888e-12,4.60222564729078e-12
0.500250125062531,9.15769965841085e-12,8.73098527654035e-12
0.600300150075038,1.81186257149092e-11,1.77350320161969e-11
0.700350175087544,2.1937548152471e-11,2.17362736200645e-11
0.80040020010005,2.84414623696169e-11,2.7906572328992e-11
0.900450225112556,3.90510911502295e-11,3.85743179690505e-11
1.00050025012506,4.40517298057159e-11,4.38113579377912e-11
1.10055027513757,5.13035760394887e-11,5.0667597043939e-11
1.20060030015008,6.6128849699781e-11,6.53411642892717e-11
1.30065032516258,7.61763787001019e-11,7.57878998958528e-11
1.40070035017509,8.31140543052059e-11,8.25719266365084e-11
1.50075037518759,9.61615729442557e-11,9.53712433679898e-11
1.6008004002001,1.0885843334258e-10,1.08248375750016e-10
1.70085042521261,1.1920911035672e-10,1.1853232616566e-10
1.80090045022511,1.3351608693571e-10,1.32631277049681e-10
1.90095047523762,1.47117860327802e-10,1.4642720530492e-10
2.00100050025013,1.56288069465367e-10,1.55666392808378e-10
2.10105052526263,1.67261428740289e-10,1.66455412732394e-10
2.20110055027514,1.78597688482906e-10,1.77899721599501e-10
2.30115057528764,1.85654899608779e-10,1.85107247313331e-10
2.40120060030015,1.92097382380691e-10,1.91459858627104e-10
2.50125062531266,1.99643478123478e-10,1.98995178324532e-10
2.60130065032516,2.0553168488871e-10,2.04959693652192e-10
2.70135067533767,2.10869257455857e-10,2.10252021832235e-10
2.80140070035018,2.16978716924071e-10,2.16355151661583e-10
2.90145072536268,2.21702004929281e-10,2.2117518374609e-10
3.00150075037519,2.25719134159378e-10,2.25142430413764e-10
3.10155077538769,2.31677813123534e-10,2.31020104135859e-10
3.2016008004002,2.37651651068456e-10,2.3704692782086e-10
3.30165082541271,2.42941376834313e-10,2.42316018466946e-10
3.40170085042521,2.49802493910351e-10,2.49086338140956e-10
3.50175087543772,2.5742876197722e-10,2.56727003218931e-10
3.60180090045022,2.64512963191349e-10,2.63808658452055e-10
3.70185092546273,2.72886295658216e-10,2.72081450860933e-10
3.80190095047524,2.82945290229485e-10,2.82092915307482e-10
3.90195097548774,2.93287781592863e-10,2.92418465055713e-10
4.00200100050025,3.04824648443114e-10,3.0385821170077e-10
4.10205102551276,3.18246801410757e-10,3.17234853049777e-10
4.20210105052526,3.30624542581603e-10,3.29726313047188e-10
4.30215107553777,3.40835316956937e-10,3.40011487330858e-10
4.40220110055028,3.50998172258719e-10,3.50113223095055e-10
4.50225112556278,3.62863292679738e-10,3.61883472383033e-10
4.60230115057529,3.75428765737164e-10,3.74402078124938e-10
4.70235117558779,3.88220728982143e-10,3.87138850219568e-10
4.8024012006003,4.00788144701307e-10,3.99702476647823e-10
4.90245122561281,4.1144386112733e-10,4.10412849051487e-10
5.00250125062531,4.2024849911871e-10,4.19218619481542e-10
5.10255127563782,4.28511162104606e-10,4.27437543532298e-10
5.20260130065033,4.36110291315037e-10,4.35019074948251e-10
5.30265132566283,4.42490752050387e-10,4.41398032999893e-10
5.40270135067534,4.47753003317656e-10,4.46662078057637e-10
5.50275137568784,4.51874273927308e-10,4.50798189094969e-10
5.60280140070035,4.5493397956888e-10,4.5387025883236e-10
5.70285142571286,4.57496843094512e-10,4.56431780559846e-10
5.80290145072536,4.60064374814989e-10,4.58990966451659e-10
5.90295147573787,4.62968983171613e-10,4.61882910893086e-10
6.00300150075037,4.65934556241058e-10,4.64855433512736e-10
6.10305152576288,4.68619877328428e-10,4.67547141904589e-10
6.20310155077539,4.71492138197182e-10,4.70401502215471e-10
6.30315157578789,4.74791739500505e-10,4.73683773277735e-10
6.4032016008004,4.78204254490686e-10,4.77092110311971e-10
6.50325162581291,4.81661300767369e-10,4.80548591481397e-10
6.60330165082541,4.85138121292927e-10,4.8403132030095e-10
6.70335167583792,4.88401394875644e-10,4.87304103175026e-10
6.80340170085042,4.91567149437917e-10,4.90466866555907e-10
6.90345172586293,4.94954285239831e-10,4.93842248616571e-10
7.00350175087544,4.98495527596472e-10,4.97379488295929e-10
7.10355177588794,5.01991914169058e-10,5.00878952916658e-10
7.20360180090045,5.05439427799152e-10,5.04331425699985e-10
7.30365182591296,5.08772503415701e-10,5.07672596721739e-10
7.40370185092546,5.11931912144049e-10,5.10837360260256e-10
7.50375187593797,5.15077148162016e-10,5.13980160616356e-10
7.60380190095047,5.18301267219529e-10,5.1720243811647e-10
7.70385192596298,5.21471555267227e-10,5.20377810709981e-10
7.80390195097549,5.24499629137677e-10,5.23413855134823e-10
7.90395197598799,5.27382247635421e-10,5.2630528277803e-10
8.0040020010005,5.3008030667556e-10,5.29012512136578e-10
8.10405202601301,5.32655765046671e-10,5.31587781856113e-10
8.20410205102551,5.35430414512509e-10,5.34346251856024e-10
8.30415207603802,5.38532817245249e-10,5.37434080193382e-10
8.40420210105053,5.41780137124842e-10,5.40679385312833e-10
8.50425212606303,5.449566656198e-10,5.43864567656751e-10
8.60430215107554,5.47927587944174e-10,5.4684722512631e-10
8.70435217608804,5.50720979866583e-10,5.49645022734071e-10
8.80440220110055,5.53552733762016e-10,5.52469325380492e-10
8.90445222611306,5.56594875032717e-10,5.55500289850261e-10
9.00450225112556,5.59790658985341e-10,5.58691643057436e-10
9.10455227613807,5.62980057150278e-10,5.61884793079924e-10
9.20460230115058,5.66059946969819e-10,5.64971845316997e-10
