var1,var2,var3
0,0,0
0.100050025012506,6.7321557186636e-22,3.39089176087352e-22
0.200100050025012,1.56609577309484e-17,1.33649105003724e-17
0.300150075037519,1.34265201020735e-16,1.40297496817629e-16
0.400200100050025,9.73851023621755e-17,1.01570906778335e-16
0.500250125062531,5.65461112422418e-16,5.19008663624135e-16
0.600300150075038,2.4047023539744e-15,2.34584136923513e-15
0.700350175087544,3.85909427675295e-15,3.85838048503633e-15
0.80040020010005,7.56940821335867e-15,7.33890174319609e-15
0.900450225112556,1.71632465580822e-14,1.68775582710874e-14
1.00050025012506,2.36523279948372e-14,2.3643887035259e-14
1.10055027513757,3.4864909164678e-14,3.41736503040862e-14
1.20060030015008,6.55488597522263e-14,6.42169916088187e-14
1.30065032516258,9.44408873637579e-14,9.41201524491106e-14
1.40070035017509,1.1835491235816e-13,1.17438023193315e-13
1.50075037518759,1.69506315738826e-13,1.67344052645491e-13
1.6008004002001,2.29737328431502e-13,2.28161943806092e-13
1.70085042521261,2.86954912640225e-13,2.84828211119929e-13
1.80090045022511,3.76886395287473e-13,3.73068714745184e-13
1.90095047523762,4.77957610402086e-13,4.75233638275109e-13
2.00100050025013,5.56098083480846e-13,5.53799993431168e-13
2.10105052526263,6.57083037178494e-13,6.52857785863745e-13
2.20110055027514,7.71031599380789e-13,7.6764122305816e-13
2.30115057528764,8.474643712823e-13,8.45617383715639e-13
2.40120060030015,9.17111673699038e-13,9.14241940799114e-13
2.50125062531266,9.95906949341257e-13,9.92840889100075e-13
2.60130065032516,1.05413633645661e-12,1.05179533305498e-12
2.70135067533767,1.09990031346025e-12,1.09716827243021e-12
2.80140070035018,1.14189385758649e-12,1.13908448346054e-12
2.90145072536268,1.16578952505406e-12,1.16346230602934e-12
3.00150075037519,1.17657675919287e-12,1.17415114839712e-12
3.10155077538769,1.17853472336352e-12,1.17605282047145e-12
3.2016008004002,1.1674992377438e-12,1.16490042966599e-12
3.30165082541271,1.14590932403177e-12,1.14340756233853e-12
3.40170085042521,1.10459849968002e-12,1.10257895463663e-12
3.50175087543772,1.0465266603678e-12,1.04427842477535e-12
3.60180090045022,9.82665896486303e-13,9.80335467665825e-13
