data1,data2,data3,data4
0,-0.000966104932939712,-0.000402197511801853,-7.82529300857133e-05
0.0100008334027836,-0.000966207758228601,-0.000402079789649955,-7.8355755374602e-05
0.0200016668055671,-0.000970801728901682,-0.000396859670706484,-8.29497260476826e-05
0.0300025002083507,-0.000979034298252292,-0.000387520753629107,-9.11822953982932e-05
0.0400033336111343,-0.000983220196561528,-0.000382779231024128,-9.53681937075292e-05
0.0500041670139178,-0.000984318113929908,-0.000381532352400906,-9.64661110759094e-05
0.0600050004167014,-0.000984504998917755,-0.000381317008401014,-9.66529960637566e-05
0.070005833819485,-0.000984515587470939,-0.000381304645628781,-9.66635846169407e-05
0.0800066672222685,-0.000984516239716274,-0.000381303885991158,-9.66642368622756e-05
0.0900075006250521,-0.00098451716840625,-0.000381302808049634,-9.66651655522515e-05
0.100008334027836,-0.000984512341646006,-0.000381308321248357,-9.66603387920077e-05
0.110009167430619,-0.000984497814999711,-0.000381324883727781,-9.66458121457125e-05
0.120010000833403,-0.000984469640408599,-0.000381357007464376,-9.66176375546005e-05
0.130010834236186,-0.000984422862280191,-0.000381410378638717,-9.65708594261928e-05
0.14001166763897,-0.000984351736409027,-0.000381491600107708,-9.64997335550287e-05
0.150012501041753,-0.000984250379878197,-0.000381607459290661,-9.63983770241982e-05
0.160013334444537,-0.000984113714272128,-0.000381763859284374,-9.62617114181294e-05
0.170014167847321,-0.000983938638212099,-0.000381964479196363,-9.60866353581006e-05
0.180015001250104,-0.000983725228341616,-0.000382209389186405,-9.58732254876172e-05
0.190015834652888,-0.000983477637271291,-0.000382493996779157,-9.56256344172926e-05
0.200016668055671,-0.000983204322312206,-0.000382808745779149,-9.53523194582078e-05
0.210017501458455,-0.000982917353782921,-0.000383139865166713,-9.50653509289223e-05
0.220018334861238,-0.000982630815829418,-0.000383471168943454,-9.47788129754193e-05
0.230019168264022,-0.000982358640092296,-0.000383786532483141,-9.45066372382971e-05
0.240020001666806,-0.000982112449463153,-0.000384072390601643,-9.42604466091544e-05
0.250020835069589,-0.000981899997344078,-0.000384319579318569,-9.40479944900791e-05
0.260021668472373,-0.000981724546486769,-0.000384524108731252,-9.38725436327708e-05
0.270022501875156,-0.000981585168318051,-0.000384686868743816,-9.37331654640524e-05
0.28002333527794,-0.000981477650298254,-0.000384812613367241,-9.36256474442559e-05
0.290024168680723,-0.00098139559835706,-0.000384908696317033,-9.35435955030621e-05
0.300025002083507,-0.000981331404714465,-0.000384983944148326,-9.34794018604662e-05
0.310025835486291,-0.000981276921526923,-0.000385047860707866,-9.34249186729248e-05
0.320026668889074,-0.000981223839429419,-0.000385110172073658,-9.33718365754208e-05
0.330027502291858,-0.000981163867693206,-0.00038518060449748,-9.3311864839207e-05
0.340028335694641,-0.000981088847136056,-0.000385268744567144,-9.32368442820572e-05
0.350029169097425,-0.000980990919067056,-0.00038538383783827,-9.31389162130572e-05
0.360030002500208,-0.000980862848284385,-0.000385534410564907,-9.30108454303866e-05
0.370030835902992,-0.000980698575347096,-0.000385727625015546,-9.2846572493098e-05
0.380031669305775,-0.000980494063434033,-0.000385968289270765,-9.26420605800342e-05
0.390032502708559,-0.000980248503699373,-0.000386257442007781,-9.23965008453747e-05
0.400033336111343,-0.000979965923254545,-0.000386590453164605,-9.21139204005465e-05
0.410034169514126,-0.000979657142345962,-0.000386954693526813,-9.18051394919629e-05
0.42003500291691,-0.000979341750285226,-0.000387327153285591,-9.14897474312274e-05
0.430035836319693,-0.000979049182093603,-0.000387673092778061,-9.11971792396043e-05
0.440036669722477,-0.000978817038651064,-0.000387947944216974,-9.09650357970657e-05
0.45003750312526,-0.000978683950990742,-0.000388105717164968,-9.08319481367434e-05
0.460038336528044,-0.000978675177292386,-0.000388116120141874,-9.08231744383867e-05
0.470039169930828,-0.000978784369621514,-0.000387986317079836,-9.0932366767515e-05
0.480040003333611,-0.000978964013227373,-0.000387772382942973,-9.1112010373374e-05
