data1,data2,data3,data4,data5
0,-2.91892601193506,-2.59139803019844,-2.42604783217009,-2.26282358886142
0.0100016669444907,-2.91892599292402,-2.59139801530766,-2.42604783217009,-2.26282358886142
0.0200033338889815,-2.91892533727326,-2.59139775681426,-2.42604785753875,-2.26282367907099
0.0300050008334722,-2.91867045707894,-2.59131039693534,-2.42601972923746,-2.26281237638233
0.040006667777963,-2.91640204923268,-2.58969122219735,-2.42512894556575,-2.26250954070928
0.0500083347224537,-2.91050731863856,-2.58441682726099,-2.42085683934852,-2.25949418451647
0.0600100016669445,-2.90276544793492,-2.57667627150238,-2.41345555735426,-2.25289427477634
0.0700116686114352,-2.89559259585048,-2.56912926640383,-2.40568147519417,-2.24512724973065
0.080013335555926,-2.89003211490245,-2.56313113737266,-2.39927725977562,-2.23839017795471
0.0900150025004167,-2.88609327821745,-2.55883487197835,-2.3946111063792,-2.23335699215339
0.100016669444907,-2.88341923732172,-2.5559097758152,-2.39141341875128,-2.22986916130027
0.110018336389398,-2.88162910445011,-2.55395622886442,-2.38927787355356,-2.22753311767214
0.120020003333889,-2.88042580525214,-2.55265077635953,-2.38785692607522,-2.2259824566768
0.13002167027838,-2.87960400741125,-2.55176649382172,-2.38690127821209,-2.2249456811726
0.14002333722287,-2.87902937889652,-2.55115411458191,-2.38624542384232,-2.22423996209198
0.150025004167361,-2.8786160845327,-2.55071821966253,-2.38578327674277,-2.2237474565589
0.160026671111852,-2.87830961688731,-2.55039836732136,-2.38544770762885,-2.22339353956013
0.170028338056343,-2.87807521828146,-2.55015618212746,-2.38519623598284,-2.22313108695384
0.180030005000833,-2.87789048836316,-2.54996706774982,-2.38500176354269,-2.22293015559995
0.190031671945324,-2.87774077452835,-2.54981503609344,-2.38484677627618,-2.2227714907541
0.200033338889815,-2.87761631682782,-2.54968951124746,-2.3847197632345,-2.22264251199839
0.210035005834306,-2.87751047281563,-2.54958335006722,-2.38461300515606,-2.22253483899284
0.220036672778796,-2.87741860181555,-2.54949160444326,-2.38452119786067,-2.22244275690881
0.230038339723287,-2.87733735274532,-2.54941073594666,-2.38444058357058,-2.22236225286028
0.240040006667778,-2.87726420135453,-2.54933810872835,-2.38436839338013,-2.22229040098014
0.250041673612269,-2.87719714391399,-2.54927165597088,-2.38430248277622,-2.2222249627944
0.260043340556759,-2.87713449053223,-2.54920965625141,-2.38424108875268,-2.22216412248949
0.27004500750125,-2.87707472233475,-2.54915058012295,-2.38418266431304,-2.22210630768089
0.280046674445741,-2.87701638897775,-2.54909298111488,-2.38412576196242,-2.22205006429692
0.290048341390232,-2.87695803025755,-2.54903541355835,-2.38406894706417,-2.22199396471325
0.300050008334722,-2.87689811026689,-2.54897636480878,-2.38401072767057,-2.22193653467975
0.310051675279213,-2.87683495599724,-2.54891419311034,-2.38394949138494,-2.2218761888651
0.320053342223704,-2.87676669524466,-2.54884706538837,-2.38388344296324,-2.22181116813715
0.330055009168195,-2.87669119157414,-2.54877289214879,-2.3838105392674,-2.22173947463128
0.340056676112685,-2.87660597723172,-2.54868925973062,-2.38372842119229,-2.2216588036226
0.350058343057176,-2.87650818852977,-2.54859336367413,-2.38363434559139,-2.22156647451579
0.360060010001667,-2.8763945125906,-2.54848195117808,-2.38352512428499,-2.22145936717371
0.370061676946158,-2.87626115950118,-2.5483512856529,-2.38339708211617,-2.22133387452236
0.380063343890648,-2.87610387966585,-2.54819715208425,-2.3832460516528,-2.22118588789103
0.390065010835139,-2.87591805165192,-2.54801492764302,-2.38306742798436,-2.22101083745064
0.40006667777963,-2.87569886951919,-2.54779974630892,-2.38285631189496,-2.22080381532868
0.410068344724121,-2.87544165801001,-2.54754678689435,-2.38260777137693,-2.22055981156075
0.420070011668611,-2.87514233578038,-2.54725170760113,-2.3823172469595,-2.22027409012917
0.430071678613102,-2.87479802768315,-2.54691123362998,-2.38198111215501,-2.21994272046155
0.440073345557593,-2.87440779479159,-2.54652387476346,-2.38159737350589,-2.21956325571114
