data1,data2,data3,data4,data5,data6,data7
0,0.000355056385626443,5.72856925787768e-05,0.000648251168632938,5.30280140693593e-05,0.000317750785901781,0.000616509489076404
0.0100008334027836,0.000355055639607351,5.73022925737171e-05,0.000648238721700813,5.3015597107664e-05,0.000317767386262407,0.000616508730186742
0.0200016668055671,0.000355018277880534,5.81336445902655e-05,0.000647615361142025,5.23937375118111e-05,0.000318598756593001,0.000616470723882917
0.0300025002083507,0.000354999597194727,5.85493167558333e-05,0.000647303683825831,5.208281066995e-05,0.000319014438776111,0.000616451720911671
0.0400033336111343,0.000355083210698367,5.66887837726812e-05,0.000648698730703772,5.34744984748355e-05,0.000317153860378377,0.000616536776943442
0.0500041670139178,0.00035520079825191,5.40722714026978e-05,0.000650660370865876,5.54314144819289e-05,0.000314537292825718,0.000616656393156788
0.0600050004167014,0.000355304513784851,5.17644473612212e-05,0.000652389715792828,5.71565918040704e-05,0.00031222941849919,0.000616761898024794
0.070005833819485,0.000355384116652586,4.99931693649538e-05,0.000653716248716496,5.84799253788302e-05,0.000310458101483029,0.000616842874227829
0.0800066672222685,0.000355429103898043,4.899213861999e-05,0.000654465933544962,5.92278021079314e-05,0.000309457048686127,0.000616888637608291
0.0900075006250521,0.000355432134781017,4.89246971260508e-05,0.000654516441349112,5.92781880967202e-05,0.000309389605706504,0.000616891720781072
0.100008334027836,0.000355390178460247,4.9858285448931e-05,0.000653817265019896,5.85806980498306e-05,0.000310323214595618,0.000616849040615822
0.110009167430619,0.000355305025011721,5.17530718300278e-05,0.000652398235074773,5.71650905391028e-05,0.000312218042717402,0.000616762418071521
0.120010000833403,0.000355183454239826,5.4458195896212e-05,0.000650372332791811,5.51440743529277e-05,0.000314923226375391,0.000616638749920007
0.130010834236186,0.000355036927608295,5.77186236381324e-05,0.000647930235329395,5.27078657167953e-05,0.000318183729500004,0.000616489695362019
0.14001166763897,0.00035488065960567,6.11958229829782e-05,0.00064532445831889,5.01083678746687e-05,0.000321661011790205,0.000616330731371545
0.150012501041753,0.000354732099941941,6.45015195745795e-05,0.000642845819270766,4.76356970343318e-05,0.000324966783294641,0.000616179608706809
0.160013334444537,0.000354609210708475,6.72360123455825e-05,0.000640795477710886,4.5590292403237e-05,0.000327701340263087,0.000616054599347183
0.170014167847321,0.000354528902923088,6.90229960576655e-05,0.000639455584985418,4.42536259475254e-05,0.000329488374311197,0.000615972906065022
0.180015001250104,0.000354505873030719,6.95354500165953e-05,0.000639071343468798,4.38703096294379e-05,0.000330000843644538,0.000615949478853247
0.190015834652888,0.00035455199645783,6.85091259485648e-05,0.000639840888341215,4.46380015480322e-05,0.000328974488785198,0.00061599639801715
0.200016668055671,0.000354676103508308,6.57475346944813e-05,0.000641911548530808,4.67036758844911e-05,0.000326212814679108,0.000616122646203973
0.210017501458455,0.000354883949672526,6.11226068834477e-05,0.000645379351336126,5.01631287173825e-05,0.000321587753152947,0.000616334078199736
0.220018334861238,0.000355178268697511,5.45735120320446e-05,0.000650289907873637,5.50618613381404e-05,0.000315038494896104,0.000616633474914981
