time,refpitch,refyaw,mespitch,mesyaw,estpitch,estyaw,epsilonpitch,epsilonyaw,errorpitch,erroryaw
0,-30,0,-40,0,-0.181463567642518,0.100049530586356,10,0,-39.8185364323575,-0.100049530586356
0.0100050025012506,-29.998539775057,-0.00438067482910752,-39.9903202376574,-0.000286026834497398,-0.0155354104130938,0.372854835528384,9.99178046260048,-0.00409464799461012,-39.9747848272443,-0.373140862362882
0.0200100050025013,-29.9941864580722,-0.017440625783332,-39.9535337723052,-0.00297616528887964,0.18859004623325,0.275256993332247,9.95934731423298,-0.0144644604944524,-40.1421238185385,-0.278233158621126
0.0300150075037519,-29.9869810858123,-0.0390567425630265,-39.8874535588391,-0.00741763814879957,0.200000320789725,1.36160596697955,9.90047247302683,-0.0316391044142269,-40.0874538796289,-1.36902360512835
0.0400200100050025,-29.9769646950438,-0.0691059148685439,-39.6728737501378,0.00253615921522714,1.31050768435591,0.531948330185413,9.69590905509394,-0.071642074083771,-40.9833814344937,-0.529412170970186
0.0500250125062531,-29.9641783225333,-0.107465032400237,-39.3234265809475,0.0261837357115656,0.769862246298481,0.440890664553953,9.35924825841423,-0.133648768111803,-40.093288827246,-0.414706928842387
0.0600300150075038,-29.9486630050472,-0.154010984858459,-38.8514870603026,0.0628474349160782,0.439350335740001,0.354413781319137,8.90282405525545,-0.216858419774537,-39.2908373960426,-0.291566346403059
0.0700350175087544,-29.9304597793521,-0.208620661943563,-38.2693486598968,0.111651452044966,0.245823442836543,0.264308410882834,8.33888888054466,-0.320272113988529,-38.5151721027334,-0.152656958837868
0.080040020010005,-29.9096096822147,-0.271170953355901,-37.5900292174317,0.171375339299286,0.125415946960907,0.184272110858402,7.68041953521699,-0.442546292655187,-37.7154451643926,-0.0128967715591159
0.0900450225112556,-29.8861537504014,-0.341538748795827,-36.8270640672365,0.240495435061685,0.0418823861223444,0.11629750154408,6.94091031683514,-0.582034183857512,-36.8689464533589,0.124197933517605
0.100050025012506,-29.8601330206788,-0.419600937963694,-35.9943276123145,0.317223200356744,-0.0234569322625474,0.0614469708363458,6.13419459163578,-0.736824138320438,-35.970870680052,0.255776229520399
0.110055027513757,-29.8315885298134,-0.505234410559854,-35.1058600657801,0.399544994888186,-0.0789373484835791,0.0198417680861716,5.27427153596668,-0.90477940544804,-35.0269227172965,0.379703226802014
0.120060030015008,-29.8005613145718,-0.598316056284661,-34.1756947930941,0.485263839059408,-0.126811166772679,-0.00929649733856746,4.37513347852232,-1.08357989534407,-34.0488836263214,0.494560336397976
0.130065032516258,-29.7670924117205,-0.698722764838467,-33.2176883274338,0.572042407433272,-0.165934094870424,-0.0274491658209164,3.45059591571328,-1.27076517227174,-33.0517542325634,0.599491573254188
0.140070035017509,-29.7312228580261,-0.806331425921626,-32.2453551324868,0.657446560009433,-0.193775780963671,-0.0365604570776551,2.51413227446073,-1.46377798593106,-32.0515793515232,0.694007017087088
0.150075037518759,-29.6929936902552,-0.92101892923449,-31.2717094558599,0.738988711678769,-0.208039829776047,-0.0387821506374565,1.57871576560471,-1.66000764091326,-31.0636696260838,0.777770862316226
0.16008004002001,-29.6524459451742,-1.04266216447741,-30.3091168399662,0.814170333179098,-0.20781865134812,-0.036238932879838,0.65667089479199,-1.85683249765651,-30.1012981886181,0.850409266058936
0.170085042521261,-29.6096206595497,-1.17113802135075,-29.3691579456731,0.880522886834354,-0.194128542988879,-0.0308439177132521,-0.240462713876621,-2.0516609081851,-29.1750294026842,0.911366804547606
0.180090045022511,-29.5645588701484,-1.30632338955484,-28.4625072603417,0.935646535522089,-0.169789727820169,-0.024179019557021,-1.10205160980664,-2.24196992507693,-28.2927175325216,0.95982555507911
0.190095047523762,-29.5173016137366,-1.44809515879006,-27.5988289918089,0.977246028061183,-0.138802087961996,-0.0174398494324866,-1.91847262192776,-2.42534118685124,-27.4600269038469,0.994685877493669
0.200100050025012,-29.4678899270811,-1.59633021875674,-26.7866920068661,1.00316325742189,-0.10549479713704,-0.0114345344864859,-2.68119792021495,-2.59949347617864,-26.6811972097291,1.01459779190838
0.210105052526263,-29.4163648469483,-1.75090545915525,-26.0335050953414,1.01140610349335,-0.0737368415463177,-0.0066213811566875,-3.38285975160688,-2.7623115626486,-25.9597682537951,1.01802748465004
0.220110055027514,-29.3627674101047,-1.91169776968594,-25.3454731846255,1.00017329950368,-0.0464031185806021,-0.00317016189202587,-4.01729422547914,-2.91187106918961,-25.2990700660449,1.0033434613957
0.230115057528764,-29.3071386533169,-2.07858404004915,-24.727574457083,0.967875188838573,-0.02515976734253,-0.00103396313390848,-4.57956419623397,-3.04645922888772,-24.7024146897404,0.968909151972482
0.240120060030015,-29.2495196133516,-2.25144115994524,-24.1835576937008,0.913150355785006,-0.0105236145814298,-2.14913389044982e-05,-5.06596191965076,-3.16459151573025,-24.1730340791194,0.91317184712391
0.250125062531266,-29.1899513269751,-2.43014601907457,-23.7159586293527,0.834878210902504,-0.00209505319283946,0.000137274539658031,-5.47399269762247,-3.26502422997708,-23.7138635761598,0.834740936362846
0.260130065032516,-29.1284748309542,-2.61457550713749,-23.3261336889137,0.732187684155264,0.00114042341368091,-0.000263511264618643,-5.80234114204045,-3.34676319129275,-23.3272741123274,0.732451195419883
0.270135067533767,-29.0651311620552,-2.80460651383435,-23.0143091911055,0.604462225445138,0.000519803751096782,-0.000946978966431737,-6.0508219709497,-3.40906873927949,-23.0148289948566,0.60540920441157
