var1,var2,var3,var4,var5
30.9625802150179,1,-0.92421261673384,-0.987017954676159,-1
30.9725810484207,1,-0.924246866919486,-0.987025496821863,-1
30.9825818818235,1,-0.924280607756115,-0.987032948947487,-1
30.9925827152263,1,-0.924313833686633,-0.987040310129828,-1
31.0025835486291,1,-0.924346543515429,-0.987047580197373,-1
31.0125843820318,1,-0.924378740342816,-0.987054759718554,-1
31.0225852154346,1,-0.92441043147257,-0.98706184998537,-1
31.0325860488374,1,-0.924441628294139,-0.987068852992669,-1
31.0425868822402,1,-0.924472346141228,-0.987075771413369,-1
31.052587715643,1,-0.924502604128457,-0.987082608569929,-1
31.0625885490458,1,-0.92453242496794,-0.987089368402386,-1
31.0725893824485,1,-0.924561834767595,-0.987096055433261,-1
31.0825902158513,1,-0.924590862813058,-0.987102674729683,-1
31.0925910492541,1,-0.924619541335102,-0.987109231863041,-1
31.1025918826569,1,-0.924647905264422,-0.987115732866485,-1
31.1125927160597,1,-0.9246759919757,-0.987122184190627,-1
31.1225935494625,1,-0.924703841022786,-0.987128592657738,-1
31.1325943828652,1,-0.924731493866874,-0.987134965414775,-1
31.142595216268,1,-0.924758993599471,-0.987141309885551,-1
31.1525960496708,1,-0.924786384661957,-0.987147633722349,-1
31.1625968830736,1,-0.924813712563488,-0.987153944757291,-1
31.1725977164764,1,-0.924841023598935,-0.987160250953744,-1
31.1825985498792,1,-0.924868364568532,-0.987166560358061,-1
31.1925993832819,1,-0.924895782500826,-0.987172881051923,-1
31.2026002166847,1,-0.924923324380502,-0.987179221105549,-1
31.2126010500875,1,-0.92495103688255,-0.987185588532035,-1
31.2226018834903,1,-0.924978966114226,-0.987191991243068,-1
31.2326027168931,1,-0.925007157366161,-0.987198437006234,-1
31.2426035502959,1,-0.925035654873911,-0.987204933404158,-1
31.2526043836986,1,-0.925064501591173,-0.987211487795679,-1
31.2626052171014,1,-0.925093738975785,-0.987218107279237,-1
31.2726060505042,1,-0.925123406789591,-0.987224798658684,-1
31.282606883907,1,-0.92515354291311,-0.987231568411644,-1
31.2926077173098,1,-0.925184183175886,-0.987238422660598,-1
31.3026085507126,1,-0.925215361203294,-0.987245367146812,-1
31.3126093841153,1,-0.925247108280458,-0.987252407207219,-1
31.3226102175181,1,-0.925279453233847,-0.987259547754349,-1
31.3326110509209,1,-0.925312422330991,-0.987266793259388,-1
31.3426118843237,1,-0.925346039198634,-0.987274147738404,-1
31.3526127177265,1,-0.925380324759563,-0.987281614741791,-1
31.3626135511293,1,-0.925415297188164,-0.987289197346929,-1
31.372614384532,1,-0.925450971884701,-0.987296898154063,-1
31.3826152179348,1,-0.925487361468141,-0.987304719285362,-1
31.3926160513376,1,-0.925524475787251,-0.987312662387106,-1
31.4026168847404,1,-0.92556232194956,-0.987320728634946,-1
31.4126177181432,1,-0.925600904367674,-0.987328918742116,-1
31.422618551546,1,-0.925640224822282,-0.98733723297052,-1
31.4326193849487,1,-0.925680282541135,-0.987345671144527,-1
31.4426202183515,1,-0.925721074293121,-0.987354232667353,-1
31.4526210517543,1,-0.925762594496498,-0.98736291653986,-1
