var1,var2,var3
0,2.35676602899726e-10,0
0.0100008334027836,1.05814179623484e-08,4.257034298637e-09
0.0200016668055671,1.09443100819017e-07,7.88036560876978e-09
0.0300025002083507,1.50066326879968e-07,1.26452714681479e-08
0.0400033336111343,6.69584205999218e-07,3.7541545856302e-07
0.0500041670139178,1.11808728265003e-06,8.41566474484059e-07
0.0600050004167014,1.4946301639609e-06,1.23767495597923e-06
0.070005833819485,1.79524699846155e-06,1.55901757118904e-06
0.0800066672222685,2.02374454366244e-06,1.80691021820184e-06
0.0900075006250521,2.19117257411017e-06,1.99099098802185e-06
0.100008334027836,2.31028720685381e-06,2.12376022897422e-06
0.110009167430619,2.39273505511348e-06,2.21714633009064e-06
0.120010000833403,2.44809419721114e-06,2.28116691735912e-06
0.130010834236186,2.48384668300103e-06,2.32372165155085e-06
0.14001166763897,2.50568043927278e-06,2.35083308144519e-06
0.150012501041753,2.51784920615744e-06,2.36699496642886e-06
0.160013334444537,2.52353278326248e-06,2.37553127567908e-06
0.170014167847321,2.52522489333123e-06,2.37898091356676e-06
0.180015001250104,2.52516730201674e-06,2.37953201751412e-06
0.190015834652888,2.52579439851394e-06,2.37948270929611e-06
0.200016668055671,2.53009406294998e-06,2.38164686532061e-06
0.210017501458455,2.54175061880203e-06,2.38957909817837e-06
0.220018334861238,2.56492590509228e-06,2.40747330207779e-06
0.230019168264022,2.60357980808307e-06,2.43961367828329e-06
0.240020001666806,2.66037047139405e-06,2.48936556859329e-06
0.250020835069589,2.73541188525071e-06,2.55790890491425e-06
0.260021668472373,2.82540571939803e-06,2.6431758077519e-06
0.270022501875156,2.9237048548534e-06,2.7395746792112e-06
0.28002333527794,3.02154822906634e-06,2.83887172070689e-06
0.290024168680723,3.11012258052097e-06,2.93206401617581e-06
0.300025002083507,3.18263032541824e-06,3.01152835614232e-06
0.310025835486291,3.23553982140278e-06,3.07257336454659e-06
0.320026668889074,3.26866994036367e-06,3.11388310857573e-06
0.330027502291858,3.28435085146301e-06,3.1369342921486e-06
0.340028335694641,3.28622154956406e-06,3.14488257738937e-06
0.350029169097425,3.27817121008642e-06,3.14145766741278e-06
0.360030002500208,3.26367309140229e-06,3.13019012240989e-06
0.370030835902992,3.24551287876792e-06,3.1140342368558e-06
0.380031669305775,3.22578535217774e-06,3.09529084596952e-06
0.390032502708559,3.20601599390494e-06,3.07568995413449e-06
0.400033336111343,3.18730337008721e-06,3.05651938818756e-06
0.410034169514126,3.1704283023311e-06,3.03873341548031e-06
0.42003500291691,3.15591556812399e-06,3.0230174728077e-06
0.430035836319693,3.14405838738124e-06,3.00981352962987e-06
0.440036669722477,3.13492680724173e-06,2.9993252041789e-06
