matrix1,matrix2,matrix3,matrix4,matrix5,matrix6,matrix7
0,0,0,0,0,0,0
0.1001001001001,6.042164449698e-07,-1.33417499580534e-09,4.9280728812918e-22,-1.57327509530891e-30,6.04216444969801e-07,-1.33417499580534e-09
0.2002002002002,2.54593019060406e-05,-8.73473519482276e-07,1.40482345294264e-17,-2.25797183204507e-22,2.54593019060547e-05,-8.73473519482276e-07
0.3003003003003,1.15472693421333e-05,-8.19615997631632e-07,4.91174111732815e-17,-1.32157033799837e-20,1.15472693421825e-05,-8.19615997631645e-07
0.4004004004004,1.1565995925341e-05,-8.74880490047295e-07,2.67860359691556e-17,-1.12912897575763e-20,1.15659959253678e-05,-8.74880490047307e-07
0.500500500500501,4.95677729466949e-05,-8.67130683832527e-06,2.52597643398e-16,-6.02148600951869e-19,4.95677729469475e-05,-8.67130683832587e-06
0.600600600600601,3.82557797846866e-05,-1.08972462724631e-05,4.84088476711957e-16,-6.0907148955356e-18,3.82557797851707e-05,-1.08972462724692e-05
0.700700700700701,1.60477430737938e-05,-4.85752540860787e-06,1.9109851193966e-16,-3.65658905359906e-18,1.60477430739849e-05,-4.85752540861153e-06
0.800800800800801,5.30467746260579e-05,-1.86991009625096e-05,6.9485343069276e-16,-1.96699496127137e-17,5.30467746267528e-05,-1.86991009625293e-05
0.900900900900901,5.82142737934789e-05,-2.75413860807271e-05,1.3358430011333e-15,-8.15896338202918e-17,5.82142737948147e-05,-2.75413860808087e-05
1.001001001001,1.07648032734276e-05,-5.42548770707275e-06,3.96043177066786e-16,-3.38447582971894e-17,1.07648032738237e-05,-5.42548770710659e-06
1.1011011011011,1.91923213538998e-05,-9.72957254288227e-06,3.85940584250403e-16,-3.49728593696986e-17,1.91923213542857e-05,-9.72957254291724e-06
1.2012012012012,1.40025940669456e-05,-7.27992856984327e-06,5.1299662071341e-16,-5.25686996659903e-17,1.40025940674586e-05,-7.27992856989584e-06
1.3013013013013,-2.95005795995815e-05,1.54604402853348e-05,-6.20285971155139e-16,6.34840282683233e-17,-2.95005796002018e-05,1.54604402853982e-05
1.4014014014014,-1.94644060799305e-05,1.04641753754428e-05,-6.39142370033876e-16,6.25016987044477e-17,-1.94644060805697e-05,1.04641753755053e-05
1.5015015015015,1.64384105673347e-05,-8.82818826165657e-06,2.82685219231758e-16,-2.71464130356931e-17,1.64384105676174e-05,-8.82818826168372e-06
1.6016016016016,2.39989075404414e-05,-1.27808306320216e-05,6.34363308263236e-16,-5.79659492421825e-17,2.39989075410758e-05,-1.27808306320796e-05
1.7017017017017,1.95849626738034e-05,-1.02827694210131e-05,5.18281161909126e-16,-4.24741043782033e-17,1.95849626743217e-05,-1.02827694210556e-05
1.8018018018018,3.16508446880125e-05,-1.61203179731721e-05,8.03729959003821e-16,-5.49819495028804e-17,3.16508446888162e-05,-1.61203179732271e-05
1.9019019019019,4.61781119941587e-05,-2.13670168539252e-05,1.30638788445935e-15,-5.80184304540838e-17,4.61781119954651e-05,-2.13670168539832e-05
2.002002002002,6.73406320374096e-05,-2.47931660794752e-05,2.01036921131701e-15,-3.4412341308965e-17,6.734063203942e-05,-2.47931660795096e-05
2.1021021021021,9.90514007337868e-05,-1.74223583939612e-05,3.47829325993907e-15,3.31101409254192e-18,9.90514007372651e-05,-1.74223583939579e-05
2.2022022022022,8.70993449473331e-05,7.53221597582363e-08,3.79649040884186e-15,1.72983925267749e-18,8.70993449511296e-05,7.53221597599661e-08
2.3023023023023,5.94314191226238e-05,4.41453969133943e-06,2.90139854917737e-15,-3.07601072940943e-18,5.94314191255252e-05,4.41453969133636e-06
2.4024024024024,3.55779733930767e-05,3.52820536219025e-06,1.84434482819123e-15,-1.88631271011271e-18,3.5577973394921e-05,3.52820536218836e-06
2.5025025025025,4.0406594464355e-05,4.53519714655803e-06,1.77062052456035e-15,-1.24028072355719e-18,4.04065944661256e-05,4.53519714655679e-06
2.6026026026026,8.3611012844166e-05,1.32360783816373e-05,3.78058245148537e-15,1.02417654035289e-18,8.36110128479466e-05,1.32360783816384e-05
2.7027027027027,0.00010969644443036,3.08345289287982e-05,5.66470563407915e-15,3.64637251485629e-17,0.000109696444436025,3.08345289288347e-05
2.8028028028028,8.51276816765265e-05,3.38094415293677e-05,4.8951815536635e-15,1.19583872288458e-16,8.51276816814217e-05,3.38094415294873e-05
2.9029029029029,4.75952899905709e-05,2.11238035875462e-05,2.84187934233912e-15,1.20009133006242e-16,4.75952899934128e-05,2.11238035876662e-05
3.003003003003,4.99050272918767e-05,2.31889762112941e-05,2.57210242458408e-15,1.38920893897736e-16,4.99050272944488e-05,2.3188976211433e-05
3.1031031031031,6.47686994590569e-05,3.22135880384078e-05,3.42078903284931e-15,2.40024544787192e-16,6.47686994624777e-05,3.22135880386478e-05
3.2032032032032,8.71491266009949e-05,4.81719043396089e-05,4.52784746090691e-15,4.39292411101836e-16,8.71491266055227e-05,4.81719043400482e-05
3.3033033033033,0.000132721995447979,8.88504303855929e-05,7.03746063411957e-15,1.0770906636821e-15,0.000132721995455016,8.88504303866699e-05
3.4034034034034,0.000147407994116614,0.000123596649892946,8.6615849709328e-15,2.27186503562614e-15,0.000147407994125275,0.000123596649895218
3.5035035035035,9.99999304017501e-05,9.30262541148089e-05,6.51047650597218e-15,2.35856766126629e-15,9.99999304082605e-05,9.30262541171674e-05
3.6036036036036,5.89324862097947e-05,5.59570570517489e-05,3.77039740752067e-15,1.50403794605239e-15,5.89324862135651e-05,5.5957057053253e-05
3.7037037037037,5.6239503579838e-05,5.35860268712587e-05,3.34303460721467e-15,1.36297521627554e-15,5.6239503583181e-05,5.35860268726217e-05
3.8038038038038,6.05595221959732e-05,5.76776398078749e-05,3.65100483325629e-15,1.48982937239204e-15,6.05595221996242e-05,5.76776398093647e-05
3.9039039039039,6.80898837252293e-05,6.46637656080136e-05,4.07165442958918e-15,1.64531718277222e-15,6.8089883729301e-05,6.46637656096589e-05
4.004004004004,7.28304611914342e-05,6.8732840228543e-05,4.57615509382211e-15,1.80886010032376e-15,7.28304611960104e-05,6.87328402303518e-05
4.1041041041041,5.44909173328968e-05,5.10739417948758e-05,3.65309577203578e-15,1.40213349199231e-15,5.44909173365499e-05,5.10739417962779e-05
4.2042042042042,4.31218516157841e-05,4.02575831356079e-05,2.73548029887106e-15,1.02702492440447e-15,4.31218516185196e-05,4.02575831366349e-05
4.3043043043043,5.96678407238697e-05,5.54776444436937e-05,3.53016292390766e-15,1.30054448579128e-15,5.96678407273998e-05,5.54776444449942e-05
4.4044044044044,7.97386344530376e-05,7.36428103450799e-05,4.98267742696918e-15,1.79253757331487e-15,7.97386344580203e-05,7.36428103468725e-05
4.5045045045045,8.00313216877814e-05,7.33827357303281e-05,5.27569188416777e-15,1.85282581539904e-15,8.0031321693057e-05,7.33827357321809e-05
4.6046046046046,7.20427501661038e-05,6.56205106539809e-05,4.8302195473174e-15,1.65653331054206e-15,7.2042750170934e-05,6.56205106556375e-05
4.7047047047047,6.3374995962472e-05,5.73472270180498e-05,4.3235527803788e-15,1.4443661532873e-15,6.33749959667956e-05,5.73472270194941e-05
4.8048048048048,5.42562934918956e-05,4.88267020637587e-05,3.71377834303557e-15,1.20973412370473e-15,5.42562934956094e-05,4.88267020649684e-05
