var1,var2,var3
0,0,0
0.100033344448149,5.20920270958822e-10,3.63390978259699e-10
0.200066688896299,7.85119828562354e-08,7.72858990875597e-08
0.300100033344448,1.49745342636798e-07,1.65555986411196e-07
0.400133377792598,1.62622776387851e-07,1.76571812318024e-07
0.500166722240747,3.06042737460455e-07,2.95119876681093e-07
0.600200066688896,5.11787753672671e-07,5.15407601546795e-07
0.700233411137046,5.51514342255623e-07,5.62470690448455e-07
0.800266755585195,7.54807296326806e-07,7.39772286319322e-07
0.900300100033344,1.13541246217884e-06,1.13741935245323e-06
1.00033344448149,1.20897287684662e-06,1.22468534742093e-06
1.10036678892964,1.46803112146707e-06,1.44370217866259e-06
1.20040013337779,2.23682660296846e-06,2.20787384108362e-06
1.30043347782594,2.56703865139564e-06,2.58326230763736e-06
1.40046682227409,2.7777152160702e-06,2.77625373557701e-06
1.50050016672224,3.47295338126596e-06,3.44308889703616e-06
1.60053351117039,4.00905850526621e-06,4.01527486034334e-06
1.70056685561854,4.38993405220965e-06,4.3828322732326e-06
1.80060020006669,5.30204430298147e-06,5.25836796816819e-06
1.90063354451484,6.09596417974471e-06,6.09955303248509e-06
2.00066688896299,6.46193955399041e-06,6.47497477791392e-06
2.10070023341114,7.19452022352514e-06,7.16330670271049e-06
2.20073357785929,8.18375108531444e-06,8.16726088972457e-06
2.30076692230744,8.85810579685322e-06,8.85802910444592e-06
2.40080026675558,9.73179881875001e-06,9.70355889756704e-06
2.50083361120373,1.07801317920757e-05,1.07654230965286e-05
2.60086695565188,1.14916000233149e-05,1.14987867497962e-05
2.70090030010003,1.23233753954642e-05,1.23010824144634e-05
2.80093364454818,1.35288487249992e-05,1.3495818244365e-05
2.90096698899633,1.45126250577686e-05,1.45075908281827e-05
3.00100033344448,1.536039566557e-05,1.53495072527901e-05
3.10103367789263,1.63873852272936e-05,1.63688636716696e-05
3.20106702234078,1.7231039530157e-05,1.72360801462955e-05
3.30110036678893,1.78742197162664e-05,1.78807758108688e-05
3.40113371123708,1.86354271775771e-05,1.86286205791705e-05
3.50116705568523,1.93793393724777e-05,1.93807433945217e-05
3.60120040013338,1.99596992277323e-05,1.9966389718677e-05
3.70123374458153,2.05354388034912e-05,2.05363594002837e-05
3.80126708902968,2.10687502073112e-05,2.10747744118349e-05
3.90130043347783,2.14564382372066e-05,2.14682216221951e-05
4.00133377792597,2.17984637634693e-05,2.18067636695342e-05
4.10136712237412,2.21234166011038e-05,2.21312514581237e-05
4.20140046682227,2.23598608327137e-05,2.23709686063342e-05
4.30143381127042,2.25260552073037e-05,2.25372725190735e-05
4.40146715571857,2.26521214933899e-05,2.26623488660351e-05
4.50150050016672,2.27286450338756e-05,2.27389584928507e-05
4.60153384461487,2.27473540723101e-05,2.2757810428302e-05
4.70156718906302,2.27114242490525e-05,2.27221965261365e-05
4.80160053351117,2.2611779830356e-05,2.26229839566351e-05
4.90163387795932,2.24539115882551e-05,2.24648046650883e-05
5.00166722240747,2.22353178225793e-05,2.22472535709467e-05
5.10170056685562,2.19367004029055e-05,2.19503141471392e-05
5.20173391130377,2.15695691340385e-05,2.15833191648814e-05
5.30176725575192,2.11351546521602e-05,2.11508355861925e-05
